idkec;nmkec;LAI
1610020;TANJUNG BATU;1.042838689
1610021;PAYARAMAN;1.295641974
1610030;RANTAU ALAI;1.211237731
1610031;KANDIS;1.191222042
1610040;TANJUNG RAJA;1.149913068
1610041;RANTAU PANJANG;0.974182929
1610042;SUNGAI PINANG;1.089262202
1610050;PEMULUTAN;0.576287412
1610051;PEMULUTAN SELATAN;0.76803144
1610052;PEMULUTAN BARAT;0.715617447
1610060;INDRALAYA;0.88359619
1610061;INDRALAYA UTARA;1.023995231
1610062;INDRALAYA SELATAN;1.032899104
1611010;MUARA PINANG;1.425325409
1611020;LINTANG KANAN;1.399426716
1611030;PENDOPO;1.525747502
1611031;PENDOPO BARAT;1.589641538
1611040;PASEMAH AIR KERUH;1.461134841
1611050;ULU MUSI;1.743327886
1611051;SIKAP DALAM;1.687061615
1611060;TALANG PADANG;1.523886634
1611070;TEBING TINGGI;1.476399107
1611071;SALING;1.413438264
1612010;TALANG UBI;1.488467637
1612020;TANAH ABANG;1.387448949
1612030;ABAB;1.308279134
1612040;PENUKAL;1.487578732
1612050;PENUKAL UTARA;1.480669973
1613010;ULU RAWAS;1.202259793
1613020;KARANG JAYA;1.295173979
1613030;RAWAS ULU;1.359010996
1613040;RUPIT;1.359068666
1613050;KARANG DAPO;1.254973063
1613060;RAWAS ILIR;1.301833355
1613070;NIBUNG;1.312306409
1671010;ILIR BARAT II;0.355662468
1671011;GANDUS;0.853798306
1671020;SEBERANG ULU I;0.328146182
1671021;KERTAPATI;0.720329429
1671022;JAKABARING;0.59068903
1671030;SEBERANG ULU II;0.440049305
1671031;PLAJU;0.631848916
1671040;ILIR BARAT I;0.913789871
1671041;BUKIT KECIL;0.245591806
1671050;ILIR TIMUR I;0.218439507
1671051;KEMUNING;0.335707908
1671060;ILIR TIMUR II;0.33605595
1671061;KALIDONI;0.614031141
1671062;ILIR TIMUR TIGA;0.413253695
1671070;SAKO;0.773740835
1671071;SEMATANG BORANG;1.004345378
1671080;SUKARAMI;0.807203167
1671081;ALANG ALANG LEBAR;0.820549645
1672010;RAMBANG KAPAK TENGAH;1.418714748
1672020;PRABUMULIH TIMUR;1.257130253
1672021;PRABUMULIH SELATAN;1.384057281
1672030;PRABUMULIH BARAT;1.38414914
1672031;PRABUMULIH UTARA;1.239729316
1672040;CAMBAI;1.379437828
1673010;DEMPO SELATAN;1.141181875
1673011;DEMPO TENGAH;1.123059247
1673020;DEMPO UTARA;1.376510065
1673030;PAGAR ALAM SELATAN;1.114860689
1673040;PAGAR ALAM UTARA;1.15917539
1674011;LUBUK LINGGAU BARAT I;1.365558751
1674012;LUBUK LINGGAU BARAT II;1.139481784
1674021;LUBUK LINGGAU SELATAN I;1.434859006
1674022;LUBUK LINGGAU SELATAN II;1.258118082
1674031;LUBUK LINGGAU TIMUR I;1.065262205
1674032;LUBUK LINGGAU TIMUR II;1.159310425
1674041;LUBUK LINGGAU UTARA I;1.428437703
1674042;LUBUK LINGGAU UTARA II;1.267046028
