idkec;nmkec;LST_Day_1km
1607091;AIR SALEK;30.06088471
1607100;BANYUASIN II;28.53551183
1607101;KARANG AGUNG ILIR;31.18893891
1607110;MUARA TELANG;30.4442324
1607111;SUMBER MARGA TELANG;30.07018536
1608010;MEKAKAU ILIR;27.22053504
1608020;BANDING AGUNG;26.33113935
1608021;WARKUK RANAU SELATAN;25.77836325
1608022;BUAY PEMATANG RIBU RANAU TENGAH;26.93552219
1608030;BUAY PEMACA;29.46905982
1608040;SIMPANG;30.01856845
1608041;BUANA PEMACA;29.97092404
1608050;MUARADUA;29.43719634
1608051;BUAY RAWAN;28.94026721
1608060;BUAY SANDANG AJI;29.20236788
1608061;TIGA DIHAJI;28.45824505
1608070;BUAY RUNJUNG;30.08973729
1608071;RUNJUNG AGUNG;29.4651192
1608080;KISAM TINGGI;27.44641511
1608090;MUARADUA KISAM;25.04202454
1608091;KISAM ILIR;28.34300646
1608100;PULAU BERINGIN;25.5888545
1608101;SINDANG DANAU;22.98288724
1608102;SUNGAI ARE;26.44716024
1609010;MARTAPURA;30.28411894
1609011;BUNGA MAYANG;30.31806364
1609012;JAYA PURA;30.03557387
1609020;BUAY PEMUKA PELIUNG;30.58728786
1609030;BUAY MADANG;31.17562916
1609031;BUAY MADANG TIMUR;30.99553983
1609032;BUAY PEMUKA BANGSA RAJA;29.60649772
1609040;MADANG SUKU II;30.03223708
1609041;MADANG SUKU III;29.70563232
1609050;MADANG SUKU I;30.20137242
1609051;BELITANG MADANG RAYA;30.78286133
1609060;BELITANG;31.52334813
1609061;BELITANG JAYA;30.71226861
1609070;BELITANG III;30.66557063
1609080;BELITANG II;30.4325472
1609081;BELITANG MULYA;30.8886493
1609090;SEMENDAWAI SUKU III;30.75044132
1609091;SEMENDAWAI TIMUR;30.36171361
1609100;CEMPAKA;30.25228551
1609101;SEMENDAWAI BARAT;30.4578409
1610010;MUARA KUANG;29.83717892
1610011;RAMBANG KUANG;29.77499003
1610012;LUBUK KELIAT;30.50863763
1610020;TANJUNG BATU;31.45178192
1610021;PAYARAMAN;30.55049279
1610030;RANTAU ALAI;30.02173717
1610031;KANDIS;29.27848991
1610040;TANJUNG RAJA;30.15120095
1610041;RANTAU PANJANG;29.89067867
1610042;SUNGAI PINANG;29.51935806
1610050;PEMULUTAN;30.61539895
1610051;PEMULUTAN SELATAN;29.73688971
1610052;PEMULUTAN BARAT;31.3832458
1610060;INDRALAYA;31.332914
1610061;INDRALAYA UTARA;31.17785695
1610062;INDRALAYA SELATAN;31.11206555
1611010;MUARA PINANG;27.13046923
1611020;LINTANG KANAN;26.87346027
1611030;PENDOPO;28.38412049
1611031;PENDOPO BARAT;28.24796404
1611040;PASEMAH AIR KERUH;28.46774903
1611050;ULU MUSI;28.03252169
1611051;SIKAP DALAM;28.14137841
1611060;TALANG PADANG;27.83025687
1611070;TEBING TINGGI;29.05452204
1611071;SALING;29.05028892
1612010;TALANG UBI;29.31345817
1612020;TANAH ABANG;29.69303398
1612030;ABAB;30.24444551
1612040;PENUKAL;29.3286937
1612050;PENUKAL UTARA;29.17581905
1613010;ULU RAWAS;24.68312023
1613020;KARANG JAYA;27.14250398
1613030;RAWAS ULU;29.16925441
1613040;RUPIT;28.99958262
1613050;KARANG DAPO;29.50087464
1613060;RAWAS ILIR;28.66578699
1613070;NIBUNG;29.18792524
1671010;ILIR BARAT II;35.67353414
1671011;GANDUS;30.56908427
1671020;SEBERANG ULU I;35.66176747
1671021;KERTAPATI;31.46497273
1671022;JAKABARING;33.77498086
1671030;SEBERANG ULU II;36.03186407
1671031;PLAJU;32.71679784
1671040;ILIR BARAT I;32.32329271
1671041;BUKIT KECIL;36.65993995
1671050;ILIR TIMUR I;36.4930555
1671051;KEMUNING;36.73183267
1671060;ILIR TIMUR II;35.74182317
1671061;KALIDONI;33.60753378
1671062;ILIR TIMUR TIGA;36.15338009
1671070;SAKO;33.97599197
1671071;SEMATANG BORANG;32.12372102
1671080;SUKARAMI;33.79622904
1671081;ALANG ALANG LEBAR;33.34913287
1672010;RAMBANG KAPAK TENGAH;29.66531389
1672020;PRABUMULIH TIMUR;30.72438792
1672021;PRABUMULIH SELATAN;29.90721574
1672030;PRABUMULIH BARAT;29.67134276
1672031;PRABUMULIH UTARA;30.09005387
1672040;CAMBAI;30.08605916
1673010;DEMPO SELATAN;24.88626449
1673011;DEMPO TENGAH;24.12461434
1673020;DEMPO UTARA;25.30602467
1673030;PAGAR ALAM SELATAN;25.03424554
1673040;PAGAR ALAM UTARA;26.92342244
1674011;LUBUK LINGGAU BARAT I;29.66531579
1674012;LUBUK LINGGAU BARAT II;30.66202293
1674021;LUBUK LINGGAU SELATAN I;30.30035217
1674022;LUBUK LINGGAU SELATAN II;30.90034955
1674031;LUBUK LINGGAU TIMUR I;32.70681826
1674032;LUBUK LINGGAU TIMUR II;32.08194148
1674041;LUBUK LINGGAU UTARA I;29.15893028
1674042;LUBUK LINGGAU UTARA II;30.60586823
