idkec;nmkec;NDBI
1671060;ILIR TIMUR II;-0.150836684
1671061;KALIDONI;-0.19780902
1671062;ILIR TIMUR TIGA;-0.127980452
1671070;SAKO;-0.165297524
1671071;SEMATANG BORANG;-0.208084879
1671080;SUKARAMI;-0.172048036
1671081;ALANG ALANG LEBAR;-0.16844585
1672010;RAMBANG KAPAK TENGAH;-0.240256166
1672020;PRABUMULIH TIMUR;-0.21674532
1672021;PRABUMULIH SELATAN;-0.23310699
1672030;PRABUMULIH BARAT;-0.236132933
1672031;PRABUMULIH UTARA;-0.219795001
1672040;CAMBAI;-0.227612351
1673010;DEMPO SELATAN;-0.228922366
1673011;DEMPO TENGAH;-0.234211857
1673020;DEMPO UTARA;-0.267086102
1673030;PAGAR ALAM SELATAN;-0.242787023
1673040;PAGAR ALAM UTARA;-0.245431053
1674011;LUBUK LINGGAU BARAT I;-0.245380044
1674012;LUBUK LINGGAU BARAT II;-0.228919379
1674021;LUBUK LINGGAU SELATAN I;-0.256553475
1674022;LUBUK LINGGAU SELATAN II;-0.242407362
1674031;LUBUK LINGGAU TIMUR I;-0.204698285
1674032;LUBUK LINGGAU TIMUR II;-0.217806449
1674041;LUBUK LINGGAU UTARA I;-0.263634993
1674042;LUBUK LINGGAU UTARA II;-0.240671175
