idkec;nmkec;NDBI
6371010;BANJARMASIN SELATAN;-0.206980527
6371020;BANJARMASIN TIMUR;-0.176196561
6371030;BANJARMASIN BARAT;-0.138285583
6371031;BANJARMASIN TENGAH;-0.107996049
6371040;BANJARMASIN UTARA;-0.17210313
6372010;LANDASAN ULIN;-0.178818931
6372011;LIANG ANGGANG;-0.177526433
6372020;CEMPAKA;-0.214091271
6372031;BANJAR BARU UTARA;-0.180234071
6372032;BANJAR BARU SELATAN;-0.172913152
