idkec;nmkec;MNDWI
1673030;PAGAR ALAM SELATAN;0.01058653
1673040;PAGAR ALAM UTARA;0.003554262
1674011;LUBUK LINGGAU BARAT I;-0.040585927
1674012;LUBUK LINGGAU BARAT II;-0.014560233
1674021;LUBUK LINGGAU SELATAN I;-0.040279511
1674022;LUBUK LINGGAU SELATAN II;-0.020179239
1674031;LUBUK LINGGAU TIMUR I;-0.022902842
1674032;LUBUK LINGGAU TIMUR II;-0.025804055
1674041;LUBUK LINGGAU UTARA I;-0.031309063
1674042;LUBUK LINGGAU UTARA II;-0.030920881
