idkec;nmkec;NO2_column_number_density
6304070;MANDASTANA;4.09E-05
6304071;JEJANGKIT;4.04E-05
6304080;BELAWANG;4.03E-05
6304090;WANARAYA;3.98E-05
6304100;BARAMBAI;3.99E-05
6304110;RANTAU BADAUH;4.05E-05
6304120;CERBON;4.09E-05
6304130;BAKUMPAI;4.05E-05
6304140;MARABAHAN;4.01E-05
6304150;TABUKAN;3.99E-05
6304160;KURIPAN;4.04E-05
6305010;BINUANG;4.05E-05
6305011;HATUNGUN;4.00E-05
6305020;TAPIN SELATAN;4.15E-05
6305021;SALAM BABARIS;4.12E-05
6305030;TAPIN TENGAH;4.10E-05
6305040;BUNGUR;4.12E-05
6305050;PIANI;3.97E-05
6305060;LOKPAIKAT;4.24E-05
6305070;TAPIN UTARA;4.22E-05
6305080;BAKARANGAN;4.22E-05
6305090;CANDI LARAS SELATAN;4.16E-05
6305100;CANDI LARAS UTARA;4.04E-05
6306010;PADANG BATUNG;4.06E-05
6306020;LOKSADO;3.88E-05
6306030;TELAGA LANGSAT;4.06E-05
6306040;ANGKINANG;4.18E-05
6306050;KANDANGAN;4.16E-05
6306060;SUNGAI RAYA;4.26E-05
6306070;SIMPUR;4.12E-05
6306080;KALUMPANG;4.16E-05
6306090;DAHA SELATAN;4.14E-05
6306091;DAHA BARAT;4.05E-05
6306100;DAHA UTARA;4.13E-05
6307010;HARUYAN;4.12E-05
6307020;BATU BENAWA;4.16E-05
6307030;HANTAKAN;3.99E-05
6307040;BATANG ALAI SELATAN;4.07E-05
6307041;BATANG ALAI TIMUR;3.83E-05
6307050;BARABAI;4.16E-05
6307060;LABUAN AMAS SELATAN;4.19E-05
6307070;LABUAN AMAS UTARA;4.17E-05
6307080;PANDAWAN;4.17E-05
6307090;BATANG ALAI UTARA;4.13E-05
6307091;LIMPASU;4.01E-05
6308010;DANAU PANGGANG;4.12E-05
6308011;PAMINGGIR;4.09E-05
6308020;BABIRIK;4.15E-05
6308030;SUNGAI PANDAN;4.16E-05
6308031;SUNGAI TABUKAN;4.19E-05
6308040;AMUNTAI SELATAN;4.06E-05
6308050;AMUNTAI TENGAH;4.15E-05
6308060;BANJANG;4.16E-05
6308070;AMUNTAI UTARA;4.17E-05
6308071;HAUR GADING;4.11E-05
6309010;BANUA LAWAS;4.04E-05
6309020;PUGAAN;4.20E-05
6309030;KELUA;4.12E-05
6309040;MUARA HARUS;4.19E-05
6309050;TANTA;4.43E-05
6309060;TANJUNG;4.20E-05
6309070;MURUNG PUDAK;4.73E-05
6309080;HARUAI;4.28E-05
6309081;BINTANG ARA;3.81E-05
6309090;UPAU;4.28E-05
6309100;MUARA UYA;3.88E-05
6309110;JARO;3.95E-05
6310010;KUSAN HILIR;3.90E-05
6310020;SUNGAI LOBAN;3.93E-05
6310030;SATUI;3.90E-05
6310031;ANGSANA;3.91E-05
6310040;KUSAN HULU;3.95E-05
6310041;KURANJI;3.93E-05
6310050;BATU LICIN;3.90E-05
6310051;KARANG BINTANG;3.91E-05
6310052;SIMPANG EMPAT;4.02E-05
6310053;MANTEWE;3.87E-05
6311010;LAMPIHONG;4.25E-05
6311020;BATU MANDI;4.16E-05
6311030;AWAYAN;4.11E-05
6311031;TEBING TINGGI;3.97E-05
6311040;PARINGIN;4.75E-05
6311041;PARINGIN SELATAN;4.29E-05
6311050;JUAI;4.48E-05
6311060;HALONG;4.06E-05
6371010;BANJARMASIN SELATAN;4.23E-05
6371020;BANJARMASIN TIMUR;4.24E-05
6371030;BANJARMASIN BARAT;4.33E-05
6371031;BANJARMASIN TENGAH;4.34E-05
6371040;BANJARMASIN UTARA;4.30E-05
6372010;LANDASAN ULIN;4.20E-05
6372011;LIANG ANGGANG;4.23E-05
6372020;CEMPAKA;4.08E-05
6372031;BANJAR BARU UTARA;4.21E-05
6372032;BANJAR BARU SELATAN;4.19E-05
