idkec;nmkec;CO_column_number_density
1610010;MUARA KUANG;0.029862724
1610011;RAMBANG KUANG;0.0297932
1610012;LUBUK KELIAT;0.029930641
1610020;TANJUNG BATU;0.030052769
1610021;PAYARAMAN;0.029964938
1610030;RANTAU ALAI;0.030043372
1610031;KANDIS;0.030043381
1610040;TANJUNG RAJA;0.030289287
1610041;RANTAU PANJANG;0.030172428
1610042;SUNGAI PINANG;0.030037321
1610050;PEMULUTAN;0.030039298
1610051;PEMULUTAN SELATAN;0.029947388
1610052;PEMULUTAN BARAT;0.030327089
1610060;INDRALAYA;0.030242405
1610061;INDRALAYA UTARA;0.030169047
1610062;INDRALAYA SELATAN;0.030035018
1611010;MUARA PINANG;0.026498507
1611020;LINTANG KANAN;0.026493626
1611030;PENDOPO;0.027594946
1611031;PENDOPO BARAT;0.02763795
1611040;PASEMAH AIR KERUH;0.026559039
1611050;ULU MUSI;0.027236943
1611051;SIKAP DALAM;0.02738409
1611060;TALANG PADANG;0.027170173
1611070;TEBING TINGGI;0.028816489
1611071;SALING;0.028949289
1612010;TALANG UBI;0.029497364
1612020;TANAH ABANG;0.029631992
1612030;ABAB;0.029803432
1612040;PENUKAL;0.029505302
1612050;PENUKAL UTARA;0.029440526
1613010;ULU RAWAS;0.026108275
1613020;KARANG JAYA;0.028284849
1613030;RAWAS ULU;0.029569109
1613040;RUPIT;0.029936829
1613050;KARANG DAPO;0.030008283
1613060;RAWAS ILIR;0.029990161
1613070;NIBUNG;0.029864203
1671010;ILIR BARAT II;0.030428075
1671011;GANDUS;0.030333071
1671020;SEBERANG ULU I;0.030380311
1671021;KERTAPATI;0.030081454
1671022;JAKABARING;0.030045382
1671030;SEBERANG ULU II;0.030290428
1671031;PLAJU;0.030303116
1671040;ILIR BARAT I;0.030405825
1671041;BUKIT KECIL;0.030514435
1671050;ILIR TIMUR I;0.03048065
1671051;KEMUNING;0.030483309
1671060;ILIR TIMUR II;0.030497104
1671061;KALIDONI;0.030650062
1671062;ILIR TIMUR TIGA;0.030375571
1671070;SAKO;0.030534502
1671071;SEMATANG BORANG;0.030598234
1671080;SUKARAMI;0.03065286
1671081;ALANG ALANG LEBAR;0.030452043
1672010;RAMBANG KAPAK TENGAH;0.029541991
1672020;PRABUMULIH TIMUR;0.029557873
1672021;PRABUMULIH SELATAN;0.029742457
1672030;PRABUMULIH BARAT;0.02971392
1672031;PRABUMULIH UTARA;0.029758485
1672040;CAMBAI;0.029657818
1673010;DEMPO SELATAN;0.024828341
1673011;DEMPO TENGAH;0.024409951
1673020;DEMPO UTARA;0.025076393
1673030;PAGAR ALAM SELATAN;0.02466348
1673040;PAGAR ALAM UTARA;0.02501652
1674011;LUBUK LINGGAU BARAT I;0.028761123
1674012;LUBUK LINGGAU BARAT II;0.028949147
1674021;LUBUK LINGGAU SELATAN I;0.029147497
1674022;LUBUK LINGGAU SELATAN II;0.029437614
1674031;LUBUK LINGGAU TIMUR I;0.029245889
1674032;LUBUK LINGGAU TIMUR II;0.029086744
1674041;LUBUK LINGGAU UTARA I;0.029204323
1674042;LUBUK LINGGAU UTARA II;0.029194657
