idkec;nmkec;ARVI
1671040;ILIR BARAT I;0.154172848
1671041;BUKIT KECIL;0.060595197
1671050;ILIR TIMUR I;0.050675533
1671051;KEMUNING;0.062973098
1671060;ILIR TIMUR II;0.066882106
1671061;KALIDONI;0.108165906
1671062;ILIR TIMUR TIGA;0.076758964
1671070;SAKO;0.123825422
1671071;SEMATANG BORANG;0.161815737
1671080;SUKARAMI;0.131046285
1671081;ALANG ALANG LEBAR;0.137290304
1672010;RAMBANG KAPAK TENGAH;0.228412326
1672020;PRABUMULIH TIMUR;0.196916495
1672021;PRABUMULIH SELATAN;0.21980273
1672030;PRABUMULIH BARAT;0.220653988
1672031;PRABUMULIH UTARA;0.192137498
1672040;CAMBAI;0.215391533
1673010;DEMPO SELATAN;0.212445741
1673011;DEMPO TENGAH;0.205074505
1673020;DEMPO UTARA;0.251879913
1673030;PAGAR ALAM SELATAN;0.19102378
1673040;PAGAR ALAM UTARA;0.198207775
1674011;LUBUK LINGGAU BARAT I;0.253126208
1674012;LUBUK LINGGAU BARAT II;0.214828943
1674021;LUBUK LINGGAU SELATAN I;0.263913136
1674022;LUBUK LINGGAU SELATAN II;0.233271458
1674031;LUBUK LINGGAU TIMUR I;0.192474574
1674032;LUBUK LINGGAU TIMUR II;0.208726577
1674041;LUBUK LINGGAU UTARA I;0.263961362
1674042;LUBUK LINGGAU UTARA II;0.236616984
