idkec;sum;min;max;mean;median;std
1602130;877.4243774;0.215537891;2.109636784;0.386530563;0.350529969;0.154809401
1602131;1925.48291;0.250478238;1.701208711;0.376880585;0.365135789;0.084464338
1602140;4536.408203;-1.5;36.54555511;0.499989882;0.37071991;1.226382867
1603010;537.9013672;0.237619951;12.8464613;0.471016959;0.354641855;0.660806198
1603011;786.2114868;0.15010567;10.60295868;0.304615067;0.267650247;0.422712697
1603012;216.1030884;0.175822467;0.827524543;0.321581977;0.31101352;0.077132829
1603020;1040.450439;-1.5;10.39874268;0.510775866;0.401186794;0.594953529
1603021;365.4124146;0.18107897;0.82804203;0.352714686;0.343277335;0.074441857
1603031;806.5505371;0.251969993;1.672510147;0.462206612;0.406546652;0.17064942
1603032;1060.509399;0.240513459;9.247627258;0.48469351;0.403077811;0.403526165
1603033;1974.072754;0.25797537;118.5635605;0.826663632;0.424208015;4.169860751
1603040;3114.524902;0.34977594;17.5691433;2.513740841;1.105924964;3.029410474
1603050;1482.522827;0.417550206;15.57932949;1.719864069;0.992641449;1.947309958
1603051;719.2037354;0.301101506;7.665856838;0.583295811;0.521648526;0.322654745
1603060;1579.988525;0.281550407;43.81193542;0.771478772;0.539103627;1.805846257
1603061;2563.346191;0.203619957;412.0270081;1.276566828;0.475561529;14.20732051
1603062;446.9982605;0.532896399;15.89133739;1.338318145;0.987849057;1.232951409
1603070;2044.60376;0.269934863;52.79888535;0.717153195;0.484377444;1.654914924
1603071;3747.415039;0.824641526;129.1302948;8.402275872;3.033432484;17.66079771
1603090;1383.142822;0.259123862;3.881907463;0.536725969;0.421901256;0.340932346
1603091;1207.285645;0.414754242;130.8129272;1.37035828;0.617123425;6.242104328
1603092;572.1801147;0.23140642;1.472881675;0.40522671;0.378577888;0.108090255
1603093;555.8405762;0.264835596;10.79033947;0.635973199;0.444295347;0.791967682
1603094;320.6628723;0.288321674;1.63240993;0.480753932;0.446760029;0.136603864
1603095;639.8757935;0.327496827;54.3612442;0.963668364;0.578081846;3.072720539
1604011;393.7558289;-1.5;1.761546969;0.315004663;0.321990311;0.257327449
1604012;277.7366943;-1.5;1.055475831;0.28427502;0.272881955;0.101117605
1604040;302.8607788;0.198410064;1.648988128;0.333180175;0.306200475;0.128232655
1604041;234.0101929;0.230555981;0.81515193;0.350839869;0.335655898;0.070358388
1604042;116.4605713;0.232506737;0.824663043;0.429743805;0.402912408;0.104738099
1604043;78.50592041;0.250224233;0.609230638;0.386728672;0.370649338;0.071628044
1604050;130.7341919;0.228165284;4.344726563;0.527154;0.412101984;0.41038342
1604051;235.1240845;0.228049591;1.157283425;0.390571569;0.367907047;0.098028745
1604052;274.6973267;0.105775706;0.596119165;0.325085594;0.32121706;0.057675335
1604060;198.6814728;0.15601024;2.124142647;0.441514384;0.380729496;0.213522451
1604061;339.0805664;-1.5;2.02513957;0.398918313;0.367408782;0.192950115
1604062;97.43106079;-1.5;1.141258359;0.397677799;0.364892632;0.195450804
1604063;73.77939606;0.287398189;1.854798913;0.599832488;0.536740363;0.232545707
1604111;416.0835571;-1.5;1.887281775;0.382078565;0.386406571;0.26140118
1604112;1087.257935;0.230960622;14.12815666;0.440899406;0.392779768;0.482690613
1604113;427.6025085;-1.5;1.409100533;0.328672182;0.345035017;0.248649623
1604114;238.088501;0.247295782;1.380351186;0.4632072;0.426545471;0.151398251
1604120;1158.805176;0.281892657;14.82034492;1.262315006;0.52845943;1.984068814
1604121;459.1140747;0.213374615;1.468627214;0.394767046;0.364932686;0.13059436
1604122;379.6265869;0.179315865;0.683985531;0.336847016;0.333928674;0.057060528
1604123;349.1279297;0.283500552;8.320487976;0.823414929;0.490944833;0.941529663
1604131;1254.508179;0.324545324;14.46261406;1.754556893;1.24142313;1.77418354
1604132;2713.185547;-1.5;78.76522064;1.407253914;0.559978724;3.558812769
1604133;325.2615967;0.281382293;5.897055149;0.625503071;0.477827787;0.51214707
1605030;852.2979736;-1.5;1.936743259;0.312769899;0.318909049;0.231027579
1605031;1081.470825;-1.5;1.018044949;0.331231493;0.346238375;0.214440409
1605032;188.6840515;-1.5;1.335633636;0.365666766;0.374674201;0.280038563
1605040;264.3744507;-1.5;4.097394466;0.957878445;0.953888893;0.590774836
1605041;143.4282532;0.137442544;1.440060854;0.612941253;0.575177908;0.202472021
1605050;590.7509766;-1.5;4.637026787;0.708334504;0.607748985;0.454300295
1605051;559.1577759;0.128006473;1.327203035;0.367866958;0.349788368;0.098945284
1605060;324.7873535;0.180983067;1.516710877;0.447365501;0.394699395;0.188532254
1605061;1003.12262;0.2862131;46.15510178;1.76606095;0.667124152;4.319664996
1605070;1209.256226;-1.5;1.560497403;0.409085327;0.390582412;0.148171954
1605071;3121.079346;0.180921525;139.5231323;0.846968615;0.429005593;4.956295665
1605072;821.0810547;0.242189884;17.04889297;0.660564002;0.497814119;0.995821518
1605080;3832.223877;-1.5;89.668396;0.475639056;0.390770525;1.855648797
1605090;827.0423584;-1.5;2.100209236;0.399730478;0.379742473;0.257621883
1606010;1208.175659;-1.5;8.932826042;0.422586799;0.34124729;0.483243634
1606020;208.7602539;-1.5;2.551520109;0.101933718;0.337795138;0.707833583
1606021;4444.159668;-1.5;98.17768097;0.398079512;0.295777887;2.129777181
1606022;709.3341064;-1.5;1.448787332;0.324786679;0.334595472;0.241343213
1606023;302.4935608;-1.5;2.136629343;0.163069305;0.362453878;0.677030265
1606030;835.5805664;-1.5;1.622492194;0.337335715;0.346717209;0.255390035
1606031;1107.208496;-1.5;38.07762909;0.58427889;0.419737101;1.369901006
1606040;3361.032959;-1.5;130.0718231;1.005093588;0.431260675;3.917663765
1606041;1824.538208;0.197949335;37.21024704;0.615773948;0.428305507;1.178544009
1606090;1353.809082;-1.5;5.855035782;0.679964381;0.487843633;0.568755351
1606091;958.3019409;0.140219063;5.763745308;0.455466702;0.351181626;0.385225094
1606092;3132.285156;0.233394429;191.4256897;1.169199386;0.529893398;6.593290924
1606100;11837.98438;0.158105776;720.3691406;0.560431017;0.324744731;6.242627761
1606101;1600.697876;0.152092308;1.946009278;0.329090846;0.309129059;0.1058349
1606102;4580.256348;-1.5;98.74613953;0.94652952;0.398623258;4.010532436
1607010;911.1847534;0.193939805;4.700991631;0.434311131;0.403719544;0.157661252
1607020;1113.5979;0.2017304;12.55105686;0.625616798;0.418469787;0.754749961
1607021;650.2979736;0.199421838;2.947498083;0.425031355;0.366596788;0.237260848
1607030;860.1489258;0.134625986;2.87962079;0.371073738;0.342759848;0.158953912
1607031;1297.661621;0.156575084;9.325112343;0.420091169;0.353420019;0.363071161
1607032;669.6207275;-1.5;1.488301277;0.32953776;0.328607976;0.189878304
1607040;1077.692627;0.247702703;6.69213295;0.723283642;0.484731555;0.730944949
1607041;756.9282227;0.252433509;4.931551456;0.731331616;0.56131351;0.546046856
1607050;3408.195801;0.26384002;13.47790432;1.616791177;0.670197487;2.342991163
1607051;1309.7052;-1.5;2.090239525;0.347770898;0.362770826;0.322235521
1607060;2070.163086;-1.5;52.38143158;2.059863767;0.843776524;4.65434786
1607061;817.8692627;0.275483072;2.386954784;0.496882906;0.428923249;0.220931892
1607070;1978.323364;0.301888138;62.3361702;0.921007153;0.50365591;2.65172727
1607080;1898.116211;0.239763573;11.66094685;0.419195276;0.383150071;0.251180138
1607081;1203.821411;-1.5;1.327956796;0.361833908;0.346024126;0.111030721
1607090;646.1888428;0.152962491;3.92404747;0.42096993;0.358809292;0.274774301
1607091;676.4558716;-1.5;1.224115372;0.416536867;0.387013793;0.128513014
1607100;4762.848633;-1.5;1.876318216;0.271495675;0.30126524;0.268958054
1607101;264.5388489;0.235150218;0.943644881;0.397205479;0.378165483;0.083434662
1607110;796.5617065;-1.5;1.593846798;0.456220909;0.437138021;0.156639297
1607111;491.9591675;-1.5;2.136656284;0.493439486;0.434957981;0.243255217
1608010;564.4770508;0.145029202;0.769204378;0.280415823;0.277147681;0.048900814
1608020;369.6699829;-1.5;2.593924046;0.32859554;0.30387935;0.146275937
1608021;394.0185547;0.208646774;1.502551079;0.316989988;0.298927486;0.092185464
1608022;310.7973633;0.199831605;1.752689838;0.34266523;0.31127876;0.120219475
1608030;740.7940674;0.172793701;0.914048016;0.315768997;0.303518236;0.06832884
1608040;257.6987305;0.225796208;1.916815639;0.360417805;0.325600773;0.167075551
1608041;293.3681641;0.191807866;0.961108446;0.331864439;0.317909181;0.076273279
1608050;475.4140015;0.151866034;3.755991459;0.461119303;0.323478937;0.440175424
1608051;276.3721924;0.185621008;2.313421249;0.358924925;0.296690822;0.211653539
1608060;310.1664429;0.159066662;1.00750649;0.315851775;0.30684638;0.073417126
1608061;279.2261658;0.169791698;2.694379807;0.319846696;0.285652876;0.195810444
1608070;146.5636902;0.137717232;0.5397982;0.291379106;0.284131408;0.054286908
1608071;190.5163879;0.131104171;0.620246649;0.294006772;0.290331423;0.058636245
1608080;382.9639282;0.133092031;0.668428898;0.286649647;0.283992916;0.053118222
1608090;257.5422363;0.136211887;0.593050182;0.280853039;0.279208243;0.055123544
1608091;89.09350586;0.181055531;0.497091264;0.297971592;0.293139428;0.052468051
1608100;341.5028076;0.141962007;0.924316466;0.293387292;0.285537779;0.069259778
1608101;323.0805969;0.129043654;0.563703537;0.279239928;0.27966544;0.04261026
1608102;245.5331421;0.162743911;0.701541901;0.282872284;0.279279768;0.042830287
1609010;1141.869385;0.26188767;11.71393967;1.488747568;0.822663903;1.707647312
1609011;421.9978638;0.235668287;1.680909157;0.420316597;0.371577889;0.159338291
1609012;307.1622314;0.248105809;1.642194867;0.412852462;0.355208367;0.171203574
1609020;603.7562866;0.26886484;4.60958004;0.748149054;0.508005857;0.542778106
1609030;561.0423584;0.45913896;6.659030914;1.621509706;1.382238865;0.908750903
1609031;967.0643921;0.335448205;7.944324017;1.377584604;1.078555346;1.046068008
1609032;263.6946411;0.321047664;1.482119203;0.553980338;0.462084562;0.228473698
1609040;446.348999;0.310414195;1.739677548;0.588075098;0.494568974;0.253609076
1609041;601.3543701;0.268841296;1.652932882;0.538365595;0.481217325;0.188984824
1609050;703.1873779;0.251337051;3.262979984;0.659650448;0.511063576;0.399740401
1609051;624.0932007;0.313531935;9.337682724;1.14093821;0.759147465;1.060254724
1609060;695.3759766;0.647386193;9.230474472;2.200556888;1.874848843;1.294006525
1609061;407.1251221;0.392832249;2.367918253;0.835985877;0.704074204;0.365516118
1609070;565.8372803;0.387444437;3.057656765;0.840768619;0.685304344;0.443398399
1609080;727.1983032;0.371894121;3.30566144;0.821692998;0.656524897;0.429033118
1609081;298.3303223;0.471319377;3.474042654;1.134335826;0.901241779;0.643076275
1609090;450.75177;0.275930405;3.085016012;0.783916122;0.665769815;0.421404503
1609091;656.130188;0.29351607;8.342525482;0.632719564;0.532173991;0.37130644
1609100;819.6914673;0.237386823;7.577830791;0.402401309;0.373103887;0.204642639
1609101;533.8039551;0.224580467;1.549184561;0.390778884;0.368490279;0.102871043
1610010;487.5526428;0.259078473;1.028708816;0.380603156;0.364130914;0.076547111
1610011;1520.320435;0.260273099;59.13283157;0.665930983;0.427972674;2.031398157
1610012;456.1477051;0.311821997;7.394173622;0.526729452;0.428775191;0.505884242
1610020;655.9943848;0.28571716;4.254880905;0.555456719;0.453601301;0.367022679
1610021;443.6035767;0.296710372;3.442079544;0.514621319;0.44618398;0.238236736
1610030;186.8629303;0.327946931;1.863271713;0.536962443;0.476274967;0.190690492
1610031;95.16832733;0.29824084;3.386560678;0.656333292;0.564190507;0.299324678
1610040;339.2605591;0.337415308;6.831618786;0.974886664;0.609337389;0.881707392
1610041;153.9699707;0.456180125;1.165505052;0.63102447;0.601546764;0.118686394
1610042;181.505127;0.367274463;4.886724472;0.965452803;0.807454228;0.567660249
1610050;1093.256714;0.387993783;98.18417358;2.263471457;1.174459696;5.152167133
1610051;140.2346191;0.401573718;1.147977591;0.579481897;0.560969889;0.105524465
1610052;287.1942749;0.355532318;4.662529469;0.894686215;0.68767333;0.607014958
1610060;717.1395264;0.415687174;9.619050026;1.723893092;1.15239048;1.589548557
1610061;1601.121582;-1.5;95.03824615;1.088457908;0.556082845;3.659960995
1610062;176.3683777;0.420547962;3.026865721;1.013611366;0.756475925;0.588199314
1611010;167.7480011;-1.5;1.805978179;0.397507112;0.348522604;0.18945094
1611020;209.8589478;0.113957129;1.531188965;0.337393807;0.324778616;0.11319116
1611030;264.9597473;-1.5;3.070007324;0.41529741;0.372794509;0.350299337
1611031;176.8916626;0.218471378;1.605860949;0.412334878;0.386710554;0.128613661
1611040;208.2865906;0.213127136;0.948753536;0.419932642;0.394218922;0.101539147
1611050;378.2381287;0.121016778;1.231848598;0.372648403;0.358972549;0.091747788
1611051;184.6064758;-1.5;1.010271072;0.372942375;0.371762872;0.151013094
1611060;194.8656311;0.128314212;0.819595098;0.341270808;0.33512795;0.066516785
1611070;563.9857178;-1.5;2.748898745;0.345156498;0.358336896;0.433293747
1611071;163.8019714;0.113265291;0.674570084;0.304464631;0.300702155;0.065871835
1612010;4470.911621;-1.5;281.0284424;1.379059723;0.623698711;7.387858335
1612020;2956.403809;0.390141338;497.4345093;3.544848691;0.983144999;25.70874424
1612030;1036.516235;0.115307994;32.04334641;0.602275558;0.440466285;1.296265371
1612040;1027.630249;0.185426697;64.00791931;0.632387846;0.46584174;1.913140254
1612050;597.4595337;0.174572587;2.513283253;0.382986881;0.361682922;0.1294073
1613010;1907.56958;0.076781228;1.253562689;0.281186554;0.275562465;0.05892424
1613020;2109.249512;-1.5;3.51604557;0.321336001;0.311849147;0.133536983
1613030;941.3978271;-1.5;4.168728828;0.416547711;0.366807044;0.231041437
1613040;832.5423584;-1.5;5.294986725;0.4522229;0.379466832;0.429119753
1613050;802.8234253;-1.5;2.512678385;0.331061206;0.323946923;0.25063482
1613060;1918.347046;-1.5;72.35903931;0.407985335;0.341152847;1.443490587
1613070;1010.19281;-1.5;2.41828537;0.351860958;0.346328944;0.218295923
1671010;329.3963928;11.22480011;25.55673981;18.2997996;18.88359833;3.760256809
1671011;963.5380859;0.656732082;21.42027092;4.100162068;2.033286572;4.26445813
1671020;371.3608093;8.842069626;22.77758789;16.88003679;17.03024673;3.374085589
1671021;1064.191895;1.162934065;24.43725967;5.320959473;4.226913452;4.045709289
1671022;1065.668945;5.748386383;59.14525223;15.44447747;14.2636795;7.213396701
1671030;647.8773193;8.180307388;25.12797546;17.9965922;18.63355637;3.984510662
1671031;1409.400635;4.095434189;49.92132187;14.99362377;10.68666649;10.25549286
1671040;1962.074585;0.62022984;35.06493378;10.72171904;8.180452347;9.700171194
1671041;393.4921265;26.91644859;40.18221283;32.79101054;32.00964355;4.128681965
1671050;771.6586304;19.77454567;42.43852234;29.67917809;30.22635651;5.051099222
1671051;747.0195313;18.83989525;33.63623047;24.90065104;24.65726852;3.287432303
1671060;864.1328125;7.480593681;38.56867981;20.57459077;19.72133636;6.018201629
1671061;1997.290405;-1.5;52.22616196;12.80314362;11.68677521;9.840422131
1671062;824.2872314;12.49052525;32.71320724;22.89686754;22.44940567;4.610030827
1671070;933.0142822;1.815601826;22.08691406;11.37822295;10.59053707;5.368478408
1671071;697.5760498;0.908260942;18.01361084;5.96218846;4.784007072;4.175092982
1671080;2564.866455;1.06782043;23.45433235;10.82222133;9.934204102;5.472220545
1671081;1870.407471;2.222257614;24.10366058;12.63788832;12.84725761;4.312252555
1672010;670.5527344;0.391818732;22.17674255;1.12508848;0.754357815;1.672190803
1672020;961.5897217;0.631953835;10.13132954;2.940641351;1.884544015;2.455962214
1672021;563.3654785;0.538712144;42.48862457;2.481786249;0.975510061;5.070677733
1672030;977.3358765;0.58199662;25.06895065;1.799881909;1.047554851;2.898388607
1672031;365.413208;0.8380301;50.29648209;4.456258634;1.506543398;7.530925963
1672040;554.4854126;0.554029107;30.52247238;1.482581317;0.888070285;2.574885965
1673010;334.9487305;0.167436644;1.46440661;0.338332051;0.303622663;0.127149605
1673011;275.8125;-1.5;1.293574214;0.315214286;0.316087723;0.288965642
