idkec;nmkec;mean
6309050;TANTA;43.39258822
6309060;TANJUNG;45.15413534
6309070;MURUNG PUDAK;44.37445624
6309080;HARUAI;45.63659263
6309081;BINTANG ARA;46.79649412
6309090;UPAU;47.33098332
6309100;MUARA UYA;46.0449844
6309110;JARO;48.94185631
6310010;KUSAN HILIR;43.42186305
6310020;SUNGAI LOBAN;41.35691227
6310030;SATUI;42.91861405
6310031;ANGSANA;40.67202149
6310040;KUSAN HULU;45.95963237
6310041;KURANJI;43.31493868
6310050;BATU LICIN;44.78583079
6310051;KARANG BINTANG;46.02255905
6310052;SIMPANG EMPAT;47.42293543
6310053;MANTEWE;46.22728203
6311010;LAMPIHONG;42.44496628
6311020;BATU MANDI;41.94675434
6311030;AWAYAN;41.29818807
6311031;TEBING TINGGI;44.75990832
6311040;PARINGIN;42.75641402
6311041;PARINGIN SELATAN;41.98287407
6311050;JUAI;42.14569979
6311060;HALONG;45.75221081
6371010;BANJARMASIN SELATAN;43.50286371
6371020;BANJARMASIN TIMUR;43.77898872
6371030;BANJARMASIN BARAT;43.56300278
6371031;BANJARMASIN TENGAH;43.60843461
6371040;BANJARMASIN UTARA;43.46605365
6372010;LANDASAN ULIN;43.27255739
6372011;LIANG ANGGANG;44.87449909
6372020;CEMPAKA;42.83642968
6372031;BANJAR BARU UTARA;42.18778115
6372032;BANJAR BARU SELATAN;42.30316025
