idkec;nmkec;SIPI
1608050;MUARADUA;0.790297645
1608051;BUAY RAWAN;0.787921529
1608060;BUAY SANDANG AJI;0.782105972
1608061;TIGA DIHAJI;0.801843768
1608070;BUAY RUNJUNG;0.763612142
1608071;RUNJUNG AGUNG;0.787058826
1608080;KISAM TINGGI;0.758385952
1608090;MUARADUA KISAM;0.747832589
1608091;KISAM ILIR;0.799753136
1608100;PULAU BERINGIN;0.766729868
1608101;SINDANG DANAU;0.800470167
1608102;SUNGAI ARE;0.798495238
1609010;MARTAPURA;0.788245237
1609011;BUNGA MAYANG;0.800731435
1609012;JAYA PURA;0.778489713
1609020;BUAY PEMUKA PELIUNG;0.769242599
1609030;BUAY MADANG;0.768219703
1609031;BUAY MADANG TIMUR;0.708378802
1609032;BUAY PEMUKA BANGSA RAJA;0.826057986
1609040;MADANG SUKU II;0.761064328
1609041;MADANG SUKU III;0.747763873
1609050;MADANG SUKU I;0.774770543
1609051;BELITANG MADANG RAYA;0.765508459
1609060;BELITANG;0.799151012
1609061;BELITANG JAYA;0.790054878
1609070;BELITANG III;0.748333157
1609080;BELITANG II;0.704983985
1609081;BELITANG MULYA;0.604051701
1609090;SEMENDAWAI SUKU III;0.823910402
1609091;SEMENDAWAI TIMUR;0.80241013
1609100;CEMPAKA;0.76368639
1609101;SEMENDAWAI BARAT;0.732936013
1610010;MUARA KUANG;0.792254611
1610011;RAMBANG KUANG;0.724194767
1610012;LUBUK KELIAT;0.669875658
1610020;TANJUNG BATU;0.657652805
1610021;PAYARAMAN;0.708091113
1610030;RANTAU ALAI;0.641901138
1610031;KANDIS;0.700009472
1610040;TANJUNG RAJA;0.746397335
1610041;RANTAU PANJANG;0.632257349
1610042;SUNGAI PINANG;0.690612495
1610050;PEMULUTAN;0.469707331
1610051;PEMULUTAN SELATAN;0.453042347
1610052;PEMULUTAN BARAT;0.562870088
1610060;INDRALAYA;0.598098443
1610061;INDRALAYA UTARA;0.746964544
1610062;INDRALAYA SELATAN;0.692333948
1611010;MUARA PINANG;0.859306103
1611020;LINTANG KANAN;0.752750939
1611030;PENDOPO;0.755983797
1611031;PENDOPO BARAT;0.843549681
1611040;PASEMAH AIR KERUH;0.780272718
1611050;ULU MUSI;0.809991346
1611051;SIKAP DALAM;0.788363844
1611060;TALANG PADANG;0.748563056
1611070;TEBING TINGGI;0.79861489
1611071;SALING;0.738626647
1612010;TALANG UBI;0.750584067
1612020;TANAH ABANG;0.699039579
1612030;ABAB;0.698030958
1612040;PENUKAL;0.718768587
1612050;PENUKAL UTARA;0.691656967
1613010;ULU RAWAS;0.744138041
1613020;KARANG JAYA;0.735292553
1613030;RAWAS ULU;0.756668779
1613040;RUPIT;0.724324314
1613050;KARANG DAPO;0.731143671
1613060;RAWAS ILIR;0.738694156
1613070;NIBUNG;0.776218084
1671010;ILIR BARAT II;0.365698802
1671011;GANDUS;0.674936348
1671020;SEBERANG ULU I;0.48905706
1671021;KERTAPATI;0.593976522
1671022;JAKABARING;0.64054772
1671030;SEBERANG ULU II;0.715994254
1671031;PLAJU;0.633734872
1671040;ILIR BARAT I;0.625211578
1671041;BUKIT KECIL;0.280960705
1671050;ILIR TIMUR I;0.209364838
1671051;KEMUNING;0.348200973
1671060;ILIR TIMUR II;0.579721761
1671061;KALIDONI;0.599453112
1671062;ILIR TIMUR TIGA;0.398748859
1671070;SAKO;0.470521696
1671071;SEMATANG BORANG;0.822737906
1671080;SUKARAMI;0.778517744
1671081;ALANG ALANG LEBAR;0.616052034
1672010;RAMBANG KAPAK TENGAH;0.778730852
1672020;PRABUMULIH TIMUR;0.720627026
1672021;PRABUMULIH SELATAN;0.741260299
1672030;PRABUMULIH BARAT;0.720757033
1672031;PRABUMULIH UTARA;0.702265411
1672040;CAMBAI;0.777860994
1673010;DEMPO SELATAN;0.796469195
1673011;DEMPO TENGAH;0.759853638
1673020;DEMPO UTARA;0.80655012
1673030;PAGAR ALAM SELATAN;0.873805695
1673040;PAGAR ALAM UTARA;0.872751166
1674011;LUBUK LINGGAU BARAT I;0.737780618
1674012;LUBUK LINGGAU BARAT II;0.606586664
1674021;LUBUK LINGGAU SELATAN I;0.826151402
1674022;LUBUK LINGGAU SELATAN II;0.678635477
1674031;LUBUK LINGGAU TIMUR I;0.872658046
1674032;LUBUK LINGGAU TIMUR II;0.926135312
1674041;LUBUK LINGGAU UTARA I;0.745831538
1674042;LUBUK LINGGAU UTARA II;0.723876587
