idkec;nmkec;NDTI
1603092;SUNGAI ROTAN;0.243377149
1603093;MUARA BELIDA;0.225013249
1603094;KELEKAR;0.237903558
1603095;BELIDA DARAT;0.244215565
1604011;TANJUNG SAKTI PUMI;0.244931721
1604012;TANJUNG SAKTI PUMU;0.232715497
1604040;KOTA AGUNG;0.223837999
1604041;MULAK ULU;0.247714538
1604042;TANJUNG TEBAT;0.267432883
1604043;MULAK SEBINGKAI;0.271544049
1604050;PULAU PINANG;0.265535045
1604051;PAGAR GUNUNG;0.24418321
1604052;GUMAY ULU;0.248151898
1604060;JARAI;0.221402668
1604061;PAJAR BULAN;0.244704333
1604062;MUARA PAYANG;0.246414514
1604063;SUKAMERINDU;0.229281444
1604111;KIKIM BARAT;0.264540002
1604112;KIKIM TIMUR;0.261779087
1604113;KIKIM SELATAN;0.251722271
1604114;KIKIM TENGAH;0.265009778
1604120;LAHAT;0.258437193
1604121;GUMAY TALANG;0.26322567
1604122;PSEKSU;0.232411891
1604123;LAHAT SELATAN;0.265767536
1604131;MERAPI BARAT;0.251199557
1604132;MERAPI TIMUR;0.252145888
1604133;MERAPI SELATAN;0.243707018
1605030;SUKU TENGAH LAKITAN ULU;0.229436083
1605031;SELANGIT;0.229250679
1605032;SUMBER HARTA;0.240065172
1605040;TUGUMULYO;0.218457619
1605041;PURWODADI;0.226277777
1605050;MUARA BELITI;0.251098153
1605051;TIANG PUMPUNG KEPUNGUT;0.256533726
1605060;JAYALOKA;0.250145121
1605061;SUKA KARYA;0.247551992
1605070;MUARA KELINGI;0.243538193
1605071;BULANG TENGAH SUKU ULU;0.248428575
1605072;TUAH NEGERI;0.244844701
1605080;MUARA LAKITAN;0.242647243
1605090;MEGANG SAKTI;0.234965324
1606010;SANGA DESA;0.231473628
1606020;BABAT TOMAN;0.229362225
1606021;BATANGHARI LEKO;0.231266937
1606022;PLAKAT TINGGI;0.234085396
1606023;LAWANG WETAN;0.232648333
1606030;SUNGAI KERUH;0.244163634
1606031;JIRAK JAYA;0.250543504
1606040;SEKAYU;0.232749426
1606041;LAIS;0.244267365
1606090;SUNGAI LILIN;0.221988021
1606091;KELUANG;0.227888325
1606092;BABAT SUPAT;0.2232914
1606100;BAYUNG LENCIR;0.214230271
1606101;LALAN;0.212933426
1606102;TUNGKAL JAYA;0.228325633
1607010;RANTAU BAYUR;0.230784672
1607020;BETUNG;0.236707934
1607021;SUAK TAPEH;0.242955641
1607030;PULAU RIMAU;0.231446395
1607031;TUNGKAL ILIR;0.221211247
1607032;SELAT PENUGUAN;0.223865829
1607040;BANYUASIN III;0.239365822
1607041;SEMBAWA;0.2353237
1607050;TALANG KELAPA;0.225994195
1607051;TANJUNG LAGO;0.225942479
1607060;BANYUASIN I;0.213090648
1607061;AIR KUMBANG;0.224340601
1607070;RAMBUTAN;0.211744938
1607080;MUARA PADANG;0.210165508
1607081;MUARA SUGIHAN;0.187888326
1607090;MAKARTI JAYA;0.196214603
1607091;AIR SALEK;0.199833577
1607100;BANYUASIN II;0.200155189
1607101;KARANG AGUNG ILIR;0.198476973
1607110;MUARA TELANG;0.206699643
1607111;SUMBER MARGA TELANG;0.211816898
1608010;MEKAKAU ILIR;0.239361198
1608020;BANDING AGUNG;0.247592276
1608021;WARKUK RANAU SELATAN;0.228417554
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.251356093
1608030;BUAY PEMACA;0.254133233
1608040;SIMPANG;0.257442441
1608041;BUANA PEMACA;0.263586882
1608050;MUARADUA;0.271513881
1608051;BUAY RAWAN;0.274375619
1608060;BUAY SANDANG AJI;0.2690584
1608061;TIGA DIHAJI;0.272544779
1608070;BUAY RUNJUNG;0.250668672
