idkec;nmkec;NDTI
6303101;SAMBUNG MAKMUR;0.21467778
6303110;MATARAMAN;0.210569822
6303120;SIMPANG EMPAT;0.215252317
6303121;TELAGA BAUNTUNG;0.214286903
6303122;CINTAPURI DARUSSALAM;0.203870419
6304010;TABUNGANEN;0.199668792
6304020;TAMBAN;0.21214374
6304030;MEKAR SARI;0.21537597
6304040;ANJIR PASAR;0.217721827
6304050;ANJIR MUARA;0.215713172
6304060;ALALAK;0.199062676
6304070;MANDASTANA;0.207677172
6304071;JEJANGKIT;0.211290916
6304080;BELAWANG;0.217991139
6304090;WANARAYA;0.234388283
6304100;BARAMBAI;0.227190475
6304110;RANTAU BADAUH;0.214343746
6304120;CERBON;0.211337991
6304130;BAKUMPAI;0.2142241
6304140;MARABAHAN;0.2290874
6304150;TABUKAN;0.22443046
6304160;KURIPAN;0.208950934
6305010;BINUANG;0.21475611
6305011;HATUNGUN;0.211609249
6305020;TAPIN SELATAN;0.212264584
6305021;SALAM BABARIS;0.208583002
6305030;TAPIN TENGAH;0.217073608
6305040;BUNGUR;0.205493633
6305050;PIANI;0.206297545
6305060;LOKPAIKAT;0.201894055
6305070;TAPIN UTARA;0.193409732
6305080;BAKARANGAN;0.207686509
6305090;CANDI LARAS SELATAN;0.20482034
6305100;CANDI LARAS UTARA;0.216736018
6306010;PADANG BATUNG;0.217109435
6306020;LOKSADO;0.202580078
6306030;TELAGA LANGSAT;0.208016846
6306040;ANGKINANG;0.199600282
6306050;KANDANGAN;0.211885466
6306060;SUNGAI RAYA;0.208985384
6306070;SIMPUR;0.203563922
6306080;KALUMPANG;0.197703194
6306090;DAHA SELATAN;0.201223219
6306091;DAHA BARAT;0.204877741
6306100;DAHA UTARA;0.200229961
6307010;HARUYAN;0.209390189
6307020;BATU BENAWA;0.204832891
6307030;HANTAKAN;0.200141018
6307040;BATANG ALAI SELATAN;0.205581098
6307041;BATANG ALAI TIMUR;0.186282225
6307050;BARABAI;0.184779294
6307060;LABUAN AMAS SELATAN;0.199742081
6307070;LABUAN AMAS UTARA;0.212021982
6307080;PANDAWAN;0.204568726
6307090;BATANG ALAI UTARA;0.203517839
6307091;LIMPASU;0.200861503
6308010;DANAU PANGGANG;0.208195764
6308011;PAMINGGIR;0.195499875
6308020;BABIRIK;0.216502989
6308030;SUNGAI PANDAN;0.213727583
6308031;SUNGAI TABUKAN;0.218345969
6308040;AMUNTAI SELATAN;0.207016865
6308050;AMUNTAI TENGAH;0.206661011
6308060;BANJANG;0.209182945
6308070;AMUNTAI UTARA;0.199467528
6308071;HAUR GADING;0.199905445
6309010;BANUA LAWAS;0.218421327
6309020;PUGAAN;0.201846736
6309030;KELUA;0.202771468
6309040;MUARA HARUS;0.210317305
6309050;TANTA;0.206300226
6309060;TANJUNG;0.211255033
6309070;MURUNG PUDAK;0.194392256
6309080;HARUAI;0.202541624
6309081;BINTANG ARA;0.205654734
6309090;UPAU;0.193624938
6309100;MUARA UYA;0.195315479
6309110;JARO;0.183491954
6310010;KUSAN HILIR;0.185261481
6310020;SUNGAI LOBAN;0.188241332
6310030;SATUI;0.184065628
6310031;ANGSANA;0.173604055
6310040;KUSAN HULU;0.19222778
6310041;KURANJI;0.19669512
6310050;BATU LICIN;0.18783712
6310051;KARANG BINTANG;0.187960869
6310052;SIMPANG EMPAT;0.177679905
6310053;MANTEWE;0.191961146
6311010;LAMPIHONG;0.21577288
6311020;BATU MANDI;0.208958301
6311030;AWAYAN;0.203211809
6311031;TEBING TINGGI;0.193308179
6311040;PARINGIN;0.192575941
