idkec;nmkec;SO2_column_number_density
6307010;HARUYAN;-1.49E-05
6307020;BATU BENAWA;-1.02E-05
6307030;HANTAKAN;1.46E-05
6307040;BATANG ALAI SELATAN;-1.30E-05
6307041;BATANG ALAI TIMUR;-1.74E-05
6307050;BARABAI;1.68E-05
6307060;LABUAN AMAS SELATAN;6.16E-06
6307070;LABUAN AMAS UTARA;1.48E-05
6307080;PANDAWAN;3.82E-06
6307090;BATANG ALAI UTARA;-2.16E-06
6307091;LIMPASU;-2.01E-05
6308010;DANAU PANGGANG;-1.56E-06
6308011;PAMINGGIR;2.00E-05
6308020;BABIRIK;6.23E-07
6308030;SUNGAI PANDAN;1.72E-05
6308031;SUNGAI TABUKAN;-9.37E-06
6308040;AMUNTAI SELATAN;5.62E-06
6308050;AMUNTAI TENGAH;2.38E-05
6308060;BANJANG;-1.21E-08
6308070;AMUNTAI UTARA;1.28E-05
6308071;HAUR GADING;8.84E-06
6309010;BANUA LAWAS;1.26E-05
6309020;PUGAAN;-1.88E-05
6309030;KELUA;-2.10E-05
6309040;MUARA HARUS;-6.47E-05
6309050;TANTA;-1.86E-05
6309060;TANJUNG;-7.16E-07
6309070;MURUNG PUDAK;-9.08E-06
6309080;HARUAI;-1.46E-05
6309081;BINTANG ARA;-8.19E-06
6309090;UPAU;-2.65E-05
6309100;MUARA UYA;-1.24E-05
6309110;JARO;-2.83E-05
6310010;KUSAN HILIR;2.59E-06
6310020;SUNGAI LOBAN;-6.81E-06
6310030;SATUI;4.59E-06
6310031;ANGSANA;2.02E-05
6310040;KUSAN HULU;-6.41E-06
6310041;KURANJI;-5.45E-06
6310050;BATU LICIN;-1.14E-05
6310051;KARANG BINTANG;-7.19E-06
6310052;SIMPANG EMPAT;5.08E-06
6310053;MANTEWE;-1.27E-05
6311010;LAMPIHONG;-1.03E-05
6311020;BATU MANDI;-7.07E-06
6311030;AWAYAN;-7.08E-06
6311031;TEBING TINGGI;-4.32E-06
6311040;PARINGIN;-8.25E-06
6311041;PARINGIN SELATAN;6.48E-06
6311050;JUAI;-2.21E-05
6311060;HALONG;-1.35E-05
6371010;BANJARMASIN SELATAN;4.12E-05
6371020;BANJARMASIN TIMUR;1.35E-05
6371030;BANJARMASIN BARAT;6.32E-05
6371031;BANJARMASIN TENGAH;5.12E-05
6371040;BANJARMASIN UTARA;2.10E-05
6372010;LANDASAN ULIN;6.47E-06
6372011;LIANG ANGGANG;7.89E-06
6372020;CEMPAKA;1.23E-05
6372031;BANJAR BARU UTARA;3.01E-06
6372032;BANJAR BARU SELATAN;2.04E-05
