idkec;nmkec;SAVI
1607040;BANYUASIN III;0.457666002
1607041;SEMBAWA;0.428838928
1607050;TALANG KELAPA;0.39824379
1607051;TANJUNG LAGO;0.383309986
1607060;BANYUASIN I;0.357287478
1607061;AIR KUMBANG;0.416186403
1607070;RAMBUTAN;0.365593997
1607080;MUARA PADANG;0.355547555
1607081;MUARA SUGIHAN;0.292387459
1607090;MAKARTI JAYA;0.272701722
1607091;AIR SALEK;0.303267973
1607100;BANYUASIN II;0.361232563
1607101;KARANG AGUNG ILIR;0.314134293
1607110;MUARA TELANG;0.312627222
1607111;SUMBER MARGA TELANG;0.320405973
1608010;MEKAKAU ILIR;0.491025656
1608020;BANDING AGUNG;0.506621964
1608021;WARKUK RANAU SELATAN;0.423711169
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.521774576
1608030;BUAY PEMACA;0.517224983
1608040;SIMPANG;0.519956064
1608041;BUANA PEMACA;0.539238026
1608050;MUARADUA;0.575212072
1608051;BUAY RAWAN;0.602653031
1608060;BUAY SANDANG AJI;0.589953289
1608061;TIGA DIHAJI;0.594795099
1608070;BUAY RUNJUNG;0.534904996
1608071;RUNJUNG AGUNG;0.512032493
1608080;KISAM TINGGI;0.42214008
1608090;MUARADUA KISAM;0.36918443
1608091;KISAM ILIR;0.415266128
1608100;PULAU BERINGIN;0.453693967
1608101;SINDANG DANAU;0.424142558
1608102;SUNGAI ARE;0.570427941
1609010;MARTAPURA;0.444341788
1609011;BUNGA MAYANG;0.48356978
1609012;JAYA PURA;0.544165379
1609020;BUAY PEMUKA PELIUNG;0.422322754
1609030;BUAY MADANG;0.374378217
1609031;BUAY MADANG TIMUR;0.401538671
1609032;BUAY PEMUKA BANGSA RAJA;0.47151914
1609040;MADANG SUKU II;0.416021386
1609041;MADANG SUKU III;0.438184085
1609050;MADANG SUKU I;0.391572142
1609051;BELITANG MADANG RAYA;0.392210825
1609060;BELITANG;0.312428436
1609061;BELITANG JAYA;0.426610345
1609070;BELITANG III;0.398626497
1609080;BELITANG II;0.373694656
1609081;BELITANG MULYA;0.337223332
1609090;SEMENDAWAI SUKU III;0.373421272
1609091;SEMENDAWAI TIMUR;0.391724269
1609100;CEMPAKA;0.40957204
1609101;SEMENDAWAI BARAT;0.395237079
1610010;MUARA KUANG;0.412453821
1610011;RAMBANG KUANG;0.437606133
1610012;LUBUK KELIAT;0.394923547
1610020;TANJUNG BATU;0.356435584
1610021;PAYARAMAN;0.42329349
1610030;RANTAU ALAI;0.40144307
1610031;KANDIS;0.391980716
1610040;TANJUNG RAJA;0.380659301
1610041;RANTAU PANJANG;0.332390617
1610042;SUNGAI PINANG;0.370293476
1610050;PEMULUTAN;0.234284757
1610051;PEMULUTAN SELATAN;0.288477907
1610052;PEMULUTAN BARAT;0.27752305
1610060;INDRALAYA;0.317382799
1610061;INDRALAYA UTARA;0.362072876
1610062;INDRALAYA SELATAN;0.3664282
1611010;MUARA PINANG;0.538633666
1611020;LINTANG KANAN;0.523660685
1611030;PENDOPO;0.588175963
1611031;PENDOPO BARAT;0.595078704
1611040;PASEMAH AIR KERUH;0.538942448
1611050;ULU MUSI;0.646791544
1611051;SIKAP DALAM;0.631483002
1611060;TALANG PADANG;0.551523062
1611070;TEBING TINGGI;0.526556814
1611071;SALING;0.502374431
1612010;TALANG UBI;0.45477803
1612020;TANAH ABANG;0.449419332
1612030;ABAB;0.438683958
1612040;PENUKAL;0.470919265
1612050;PENUKAL UTARA;0.458994384
1613010;ULU RAWAS;0.447983299
1613020;KARANG JAYA;0.463947493
1613030;RAWAS ULU;0.471832599
1613040;RUPIT;0.471409954
1613050;KARANG DAPO;0.425469716
1613060;RAWAS ILIR;0.425222522
1613070;NIBUNG;0.427566248
1671010;ILIR BARAT II;0.151603484
1671011;GANDUS;0.314062838
1671020;SEBERANG ULU I;0.14120101
1671021;KERTAPATI;0.281329212
1671022;JAKABARING;0.229192105
1671030;SEBERANG ULU II;0.17931266
1671031;PLAJU;0.237000419
1671040;ILIR BARAT I;0.315016628
1671041;BUKIT KECIL;0.116450123
1671050;ILIR TIMUR I;0.09949034
1671051;KEMUNING;0.129794858
1671060;ILIR TIMUR II;0.132483472
1671061;KALIDONI;0.222303341
1671062;ILIR TIMUR TIGA;0.157410595
1671070;SAKO;0.261638982
1671071;SEMATANG BORANG;0.334477286
1671080;SUKARAMI;0.277165009
1671081;ALANG ALANG LEBAR;0.288765563
1672010;RAMBANG KAPAK TENGAH;0.451320908
1672020;PRABUMULIH TIMUR;0.395674131
1672021;PRABUMULIH SELATAN;0.438277368
1672030;PRABUMULIH BARAT;0.437753299
1672031;PRABUMULIH UTARA;0.385109464
1672040;CAMBAI;0.42888671
1673010;DEMPO SELATAN;0.421201405
1673011;DEMPO TENGAH;0.408657118
1673020;DEMPO UTARA;0.498334835
1673030;PAGAR ALAM SELATAN;0.388296169
1673040;PAGAR ALAM UTARA;0.40242655
1674011;LUBUK LINGGAU BARAT I;0.497154971
1674012;LUBUK LINGGAU BARAT II;0.423712048
1674021;LUBUK LINGGAU SELATAN I;0.516290034
1674022;LUBUK LINGGAU SELATAN II;0.462075266
1674031;LUBUK LINGGAU TIMUR I;0.393115822
1674032;LUBUK LINGGAU TIMUR II;0.420119739
1674041;LUBUK LINGGAU UTARA I;0.51338578
1674042;LUBUK LINGGAU UTARA II;0.46808835
