idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1603012;SEMENDO DARAT TENGAH;52;0;2;16;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603020;TANJUNG AGUNG;125;0;79;1;2;21;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
1603021;PANANG ENIM;40;6;6;1;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1603031;RAMBANG;186;0;42;19;1;30;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
1603032;LUBAI;434;0;124;3;84;121;0;0;21;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
1603033;LUBAI ULU;549;0;154;0;94;251;0;0;5;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
1603040;LAWANG KIDUL;920;0;230;60;14;5;54;0;6;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0
1603050;MUARA ENIM;1307;0;196;22;3;12;46;0;3;0;0;0;5;0;24;0;2;0;2;3;3;0;0;0;0
1603051;UJAN MAS;121;0;78;12;0;14;0;0;2;0;0;0;0;0;11;0;2;0;0;0;0;0;0;0;0
1603060;GUNUNG MEGANG;212;0;49;6;7;48;0;1;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;0
1603061;BENAKAT;42;0;118;14;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603062;BELIMBING;94;0;34;4;0;5;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
1603070;RAMBANG NIRU;319;0;141;25;3;32;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0
1603071;EMPAT PETULAI DANGKU;163;0;176;7;4;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603090;GELUMBANG;694;0;141;34;85;45;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
1603091;LEMBAK;189;0;30;26;5;25;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1603092;SUNGAI ROTAN;146;0;45;24;0;3;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603093;MUARA BELIDA;40;0;4;0;144;16;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603094;KELEKAR;111;0;6;36;7;13;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
1603095;BELIDA DARAT;160;0;8;14;1;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;44;20;13;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;51;0;4;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604040;KOTA AGUNG;77;2;10;0;28;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604041;MULAK ULU;35;8;0;0;7;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604042;TANJUNG TEBAT;73;2;10;0;3;11;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;17;0;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604050;PULAU PINANG;132;0;34;0;1;5;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
1604051;PAGAR GUNUNG;75;0;4;1;5;23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1604052;GUMAY ULU;67;0;5;0;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604060;JARAI;91;0;4;0;1;11;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1604061;PAJAR BULAN;122;0;18;0;10;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604062;MUARA PAYANG;38;0;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1604063;SUKAMERINDU;75;0;15;0;5;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
1604111;KIKIM BARAT;161;0;45;3;8;25;0;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
1604112;KIKIM TIMUR;215;0;85;0;3;34;0;0;5;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
1604113;KIKIM SELATAN;61;0;25;0;8;21;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1604114;KIKIM TENGAH;77;0;52;2;0;8;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
1604120;LAHAT;1585;9;379;6;0;19;0;0;5;0;0;0;26;1;17;0;0;0;2;0;0;0;0;0;0
1604121;GUMAY TALANG;159;0;33;0;2;13;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
1604122;PSEKSU;19;0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604123;LAHAT SELATAN;238;0;37;8;5;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604131;MERAPI BARAT;245;0;216;1;5;1;0;0;6;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
1604132;MERAPI TIMUR;166;0;198;10;9;11;0;0;6;0;0;0;12;2;0;0;2;0;0;0;0;0;0;0;0
1604133;MERAPI SELATAN;29;0;6;15;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605030;SUKU TENGAH LAKITAN ULU;288;3;43;0;1;39;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1605031;SELANGIT;91;0;35;0;5;11;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
1605032;SUMBER HARTA;191;3;25;3;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605040;TUGUMULYO;931;4;84;9;9;36;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605041;PURWODADI;325;5;18;4;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605050;MUARA BELITI;460;2;160;31;1;35;0;1;3;0;0;0;10;0;11;0;0;0;0;1;0;0;0;0;0
1605051;TIANG PUMPUNG KEPUNGUT;71;0;24;0;1;6;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
1605060;JAYALOKA;93;0;12;0;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605061;SUKA KARYA;123;0;12;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605070;MUARA KELINGI;280;0;76;2;38;45;0;0;2;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;214;0;119;0;9;54;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1605072;TUAH NEGERI;205;0;32;0;0;13;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
1605080;MUARA LAKITAN;220;0;425;10;28;98;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
1605090;MEGANG SAKTI;361;0;12;3;14;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606010;SANGA DESA;101;0;135;14;21;17;4;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
1606020;BABAT TOMAN;169;0;142;16;17;7;1;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
1606021;BATANGHARI LEKO;158;5;100;55;249;51;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606022;PLAKAT TINGGI;168;0;55;5;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606023;LAWANG WETAN;120;6;106;0;8;27;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
1606030;SUNGAI KERUH;41;1;35;11;5;19;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
1606031;JIRAK JAYA;69;0;17;0;21;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606040;SEKAYU;599;9;298;40;21;30;1;0;0;0;0;0;0;0;36;0;0;0;3;0;0;1;0;0;0
1606041;LAIS;216;0;104;4;5;21;0;0;2;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0
1606090;SUNGAI LILIN;709;0;143;11;17;39;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
1606091;KELUANG;282;0;47;9;5;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606092;BABAT SUPAT;463;0;110;9;5;59;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0
1606100;BAYUNG LENCIR;820;0;921;79;511;202;8;0;17;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0
1606101;LALAN;2389;0;237;8;54;470;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1606102;TUNGKAL JAYA;692;0;227;60;100;68;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
1607010;RANTAU BAYUR;165;0;29;26;11;18;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607020;BETUNG;566;0;79;1;10;23;0;0;0;0;0;0;5;0;1;2;0;0;0;0;0;0;0;0;0
1607021;SUAK TAPEH;95;0;244;2;22;21;0;0;3;0;0;0;3;0;0;2;2;0;0;0;0;0;0;0;0
1607030;PULAU RIMAU;734;0;81;0;52;141;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607031;TUNGKAL ILIR;592;0;102;20;27;202;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607032;SELAT PENUGUAN;970;0;105;0;27;336;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607040;BANYUASIN III;480;16;251;26;3;20;0;0;7;0;0;0;9;0;0;0;4;4;0;0;0;0;0;0;0
1607041;SEMBAWA;560;0;194;6;6;25;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
1607050;TALANG KELAPA;4654;4;1133;39;140;109;7;1;53;0;0;0;7;0;8;0;2;0;0;0;0;0;0;0;0
1607051;TANJUNG LAGO;1034;0;162;27;237;245;0;0;98;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
1607060;BANYUASIN I;836;0;280;18;17;44;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607061;AIR KUMBANG;697;0;39;35;9;134;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607070;RAMBUTAN;927;25;302;5;111;36;10;7;27;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
1607080;MUARA PADANG;893;0;31;39;14;214;0;0;573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607081;MUARA SUGIHAN;1112;0;12;0;23;258;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607090;MAKARTI JAYA;531;0;1;0;38;66;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607091;AIR SALEK;970;0;11;0;49;127;0;0;568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607100;BANYUASIN II;260;0;125;1;127;48;0;3;39;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
1607101;KARANG AGUNG ILIR;1023;0;6;0;11;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607110;MUARA TELANG;1441;0;39;0;12;196;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607111;SUMBER MARGA TELANG;139;0;37;0;19;83;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
1608010;MEKAKAU ILIR;123;12;8;0;106;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608020;BANDING AGUNG;181;4;16;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608021;WARKUK RANAU SELATAN;134;4;4;10;43;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1608022;BUAY PEMATANG RIBU RANAU TENGAH;130;8;6;0;58;15;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608030;BUAY PEMACA;217;0;9;11;202;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608040;SIMPANG;107;13;9;4;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608041;BUANA PEMACA;93;15;10;8;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608050;MUARADUA;426;13;68;17;23;20;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608051;BUAY RAWAN;186;4;23;1;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608060;BUAY SANDANG AJI;70;7;0;4;15;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608061;TIGA DIHAJI;42;1;24;0;36;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608070;BUAY RUNJUNG;46;0;3;1;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608071;RUNJUNG AGUNG;33;0;2;0;22;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608080;KISAM TINGGI;50;0;22;0;82;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608090;MUARADUA KISAM;80;0;3;2;119;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608091;KISAM ILIR;31;2;0;2;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608100;PULAU BERINGIN;142;9;1;0;73;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608101;SINDANG DANAU;47;2;3;4;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608102;SUNGAI ARE;67;8;3;0;29;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609010;MARTAPURA;1293;11;176;15;327;27;0;0;61;0;0;0;9;1;0;0;0;1;0;2;0;1;0;0;0
1609011;BUNGA MAYANG;148;6;11;0;46;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609012;JAYA PURA;126;0;35;6;22;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609020;BUAY PEMUKA PELIUNG;292;6;14;3;188;35;5;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1609030;BUAY MADANG;431;11;14;9;35;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609031;BUAY MADANG TIMUR;872;10;8;19;12;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609032;BUAY PEMUKA BANGSA RAJA;124;1;11;0;14;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
1609040;MADANG SUKU II;256;1;13;0;162;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609041;MADANG SUKU III;208;0;6;0;37;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609050;MADANG SUKU I;402;69;18;2;5;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609051;BELITANG MADANG RAYA;593;23;25;7;1;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609060;BELITANG;774;16;41;38;4;40;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1609061;BELITANG JAYA;289;0;22;12;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609070;BELITANG III;424;15;14;13;0;25;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609080;BELITANG II;620;1;20;15;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609081;BELITANG MULYA;286;1;18;22;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
