idkec;nmkec;NDWI
6308060;BANJANG;-0.236953609
6308070;AMUNTAI UTARA;-0.194205447
6308071;HAUR GADING;-0.195169415
6309010;BANUA LAWAS;-0.230008321
6309020;PUGAAN;-0.183856261
6309030;KELUA;-0.20357246
6309040;MUARA HARUS;-0.220947033
6309050;TANTA;-0.217094478
6309060;TANJUNG;-0.233104512
6309070;MURUNG PUDAK;-0.200842886
6309080;HARUAI;-0.230319583
6309081;BINTANG ARA;-0.236947951
6309090;UPAU;-0.213950547
6309100;MUARA UYA;-0.230701395
6309110;JARO;-0.215205267
6310010;KUSAN HILIR;-0.18189373
6310020;SUNGAI LOBAN;-0.201493849
6310030;SATUI;-0.207085394
6310031;ANGSANA;-0.202511336
6310040;KUSAN HULU;-0.213383907
6310041;KURANJI;-0.223737314
6310050;BATU LICIN;-0.197433839
6310051;KARANG BINTANG;-0.218888709
6310052;SIMPANG EMPAT;-0.187599005
6310053;MANTEWE;-0.223136281
6311010;LAMPIHONG;-0.23474936
6311020;BATU MANDI;-0.235483714
6311030;AWAYAN;-0.233655509
6311031;TEBING TINGGI;-0.227582395
6311040;PARINGIN;-0.186169725
6311041;PARINGIN SELATAN;-0.226920008
6311050;JUAI;-0.206036582
6311060;HALONG;-0.219129275
6371010;BANJARMASIN SELATAN;-0.146960049
6371020;BANJARMASIN TIMUR;-0.136637451
6371030;BANJARMASIN BARAT;-0.079212688
6371031;BANJARMASIN TENGAH;-0.080607288
6371040;BANJARMASIN UTARA;-0.148586271
6372010;LANDASAN ULIN;-0.173475148
6372011;LIANG ANGGANG;-0.157201348
6372020;CEMPAKA;-0.192634057
6372031;BANJAR BARU UTARA;-0.181395683
6372032;BANJAR BARU SELATAN;-0.160758015
