idkec;nmkec;NDWI
1604012;TANJUNG SAKTI PUMU;-0.260391256
1604040;KOTA AGUNG;-0.236382012
1604041;MULAK ULU;-0.276246037
1604042;TANJUNG TEBAT;-0.30476351
1604043;MULAK SEBINGKAI;-0.306361441
1604050;PULAU PINANG;-0.303607794
1604051;PAGAR GUNUNG;-0.259901005
1604052;GUMAY ULU;-0.274190325
1604060;JARAI;-0.238545464
1604061;PAJAR BULAN;-0.285699615
1604062;MUARA PAYANG;-0.293495718
1604063;SUKAMERINDU;-0.266362295
1604111;KIKIM BARAT;-0.302565838
1604112;KIKIM TIMUR;-0.285002004
1604113;KIKIM SELATAN;-0.264688263
1604114;KIKIM TENGAH;-0.304728153
1604120;LAHAT;-0.278595521
1604121;GUMAY TALANG;-0.290377078
1604122;PSEKSU;-0.225597532
1604123;LAHAT SELATAN;-0.299409291
1604131;MERAPI BARAT;-0.250266984
1604132;MERAPI TIMUR;-0.25199676
1604133;MERAPI SELATAN;-0.24945271
1605030;SUKU TENGAH LAKITAN ULU;-0.231589777
1605031;SELANGIT;-0.22742253
1605032;SUMBER HARTA;-0.245139594
1605040;TUGUMULYO;-0.221741522
1605041;PURWODADI;-0.236385486
1605050;MUARA BELITI;-0.283592772
1605051;TIANG PUMPUNG KEPUNGUT;-0.292000353
1605060;JAYALOKA;-0.265394158
1605061;SUKA KARYA;-0.257169092
1605070;MUARA KELINGI;-0.251109739
1605071;BULANG TENGAH SUKU ULU;-0.26298022
1605072;TUAH NEGERI;-0.267219439
1605080;MUARA LAKITAN;-0.250832862
1605090;MEGANG SAKTI;-0.241463799
1606010;SANGA DESA;-0.227464263
1606020;BABAT TOMAN;-0.222434802
1606021;BATANGHARI LEKO;-0.233308892
1606022;PLAKAT TINGGI;-0.23183111
1606023;LAWANG WETAN;-0.232022849
1606030;SUNGAI KERUH;-0.253481195
1606031;JIRAK JAYA;-0.263388696
1606040;SEKAYU;-0.239866064
1606041;LAIS;-0.24806205
1606090;SUNGAI LILIN;-0.24557966
1606091;KELUANG;-0.249502524
1606092;BABAT SUPAT;-0.235127335
1606100;BAYUNG LENCIR;-0.225065585
1606101;LALAN;-0.216561764
1606102;TUNGKAL JAYA;-0.246273983
1607010;RANTAU BAYUR;-0.195737076
1607020;BETUNG;-0.249282862
1607021;SUAK TAPEH;-0.255172191
1607030;PULAU RIMAU;-0.241806633
1607031;TUNGKAL ILIR;-0.233543833
1607032;SELAT PENUGUAN;-0.221062584
1607040;BANYUASIN III;-0.254717387
1607041;SEMBAWA;-0.241170579
1607050;TALANG KELAPA;-0.223950124
1607051;TANJUNG LAGO;-0.217458201
1607060;BANYUASIN I;-0.20099109
1607061;AIR KUMBANG;-0.236634848
1607070;RAMBUTAN;-0.202961044
1607080;MUARA PADANG;-0.195895608
1607081;MUARA SUGIHAN;-0.16394998
1607090;MAKARTI JAYA;-0.154372278
1607091;AIR SALEK;-0.17329606
1607100;BANYUASIN II;-0.195679169
1607101;KARANG AGUNG ILIR;-0.179765441
1607110;MUARA TELANG;-0.179692953
1607111;SUMBER MARGA TELANG;-0.182142623
1608010;MEKAKAU ILIR;-0.274712633
1608020;BANDING AGUNG;-0.281461662
1608021;WARKUK RANAU SELATAN;-0.240886385
1608022;BUAY PEMATANG RIBU RANAU TENGAH;-0.289459197
1608030;BUAY PEMACA;-0.288415905
1608040;SIMPANG;-0.288144329
1608041;BUANA PEMACA;-0.299266097
1608050;MUARADUA;-0.316466278
1608051;BUAY RAWAN;-0.330199262
1608060;BUAY SANDANG AJI;-0.324461984
1608061;TIGA DIHAJI;-0.327711509
1608070;BUAY RUNJUNG;-0.298959068
1608071;RUNJUNG AGUNG;-0.28500734
1608080;KISAM TINGGI;-0.240950788
1608090;MUARADUA KISAM;-0.213530657
1608091;KISAM ILIR;-0.239037272
1608100;PULAU BERINGIN;-0.257447406
1608101;SINDANG DANAU;-0.240447882
1608102;SUNGAI ARE;-0.316436588
1609010;MARTAPURA;-0.247229129
1609011;BUNGA MAYANG;-0.267698813
1609012;JAYA PURA;-0.298778167
1609020;BUAY PEMUKA PELIUNG;-0.239736388
1609030;BUAY MADANG;-0.210564608
1609031;BUAY MADANG TIMUR;-0.22254676
1609032;BUAY PEMUKA BANGSA RAJA;-0.259808995
1609040;MADANG SUKU II;-0.232593438
1609041;MADANG SUKU III;-0.242455254
1609050;MADANG SUKU I;-0.216133601
1609051;BELITANG MADANG RAYA;-0.217573284
1609060;BELITANG;-0.176062911
1609061;BELITANG JAYA;-0.238916122
1609070;BELITANG III;-0.222110654
1609080;BELITANG II;-0.20866846
1609081;BELITANG MULYA;-0.189112194
1609090;SEMENDAWAI SUKU III;-0.208576405
1609091;SEMENDAWAI TIMUR;-0.218179732
1609100;CEMPAKA;-0.228364438
1609101;SEMENDAWAI BARAT;-0.218920695
1610010;MUARA KUANG;-0.223874286
1610011;RAMBANG KUANG;-0.24043348
1610012;LUBUK KELIAT;-0.216949602
1610020;TANJUNG BATU;-0.198943967
1610021;PAYARAMAN;-0.23377338
1610030;RANTAU ALAI;-0.220412796
1610031;KANDIS;-0.216747661
1610040;TANJUNG RAJA;-0.210859969
1610041;RANTAU PANJANG;-0.183664984
1610042;SUNGAI PINANG;-0.201773342
1610050;PEMULUTAN;-0.126343736
1610051;PEMULUTAN SELATAN;-0.148344751
1610052;PEMULUTAN BARAT;-0.152809827
1610060;INDRALAYA;-0.174751235
1610061;INDRALAYA UTARA;-0.201795891
1610062;INDRALAYA SELATAN;-0.200351744
1611010;MUARA PINANG;-0.302117258
1611020;LINTANG KANAN;-0.293932788
1611030;PENDOPO;-0.326072688
1611031;PENDOPO BARAT;-0.33017075
1611040;PASEMAH AIR KERUH;-0.298230209
1611050;ULU MUSI;-0.356034751
1611051;SIKAP DALAM;-0.348024535
1611060;TALANG PADANG;-0.307240021
1611070;TEBING TINGGI;-0.291408203
1611071;SALING;-0.277997861
1612010;TALANG UBI;-0.251764473
1612020;TANAH ABANG;-0.243450074
1612030;ABAB;-0.241392792
1612040;PENUKAL;-0.257152278
1612050;PENUKAL UTARA;-0.250524605
1613010;ULU RAWAS;-0.24872563
1613020;KARANG JAYA;-0.256784806
1613030;RAWAS ULU;-0.262024371
1613040;RUPIT;-0.259461226
1613050;KARANG DAPO;-0.235196323
1613060;RAWAS ILIR;-0.236369958
1613070;NIBUNG;-0.239719873
1671010;ILIR BARAT II;-0.096979728
1671011;GANDUS;-0.178296531
1671020;SEBERANG ULU I;-0.093353996
1671021;KERTAPATI;-0.156216144
1671022;JAKABARING;-0.134658462
1671030;SEBERANG ULU II;-0.113517698
1671031;PLAJU;-0.133830988
1671040;ILIR BARAT I;-0.182117676
1671041;BUKIT KECIL;-0.075904085
1671050;ILIR TIMUR I;-0.070208206
1671051;KEMUNING;-0.087991454
1671060;ILIR TIMUR II;-0.083943072
1671061;KALIDONI;-0.128711096
1671062;ILIR TIMUR TIGA;-0.09948608
1671070;SAKO;-0.156111632
1671071;SEMATANG BORANG;-0.189725659
1671080;SUKARAMI;-0.163983411
1671081;ALANG ALANG LEBAR;-0.169551106
1672010;RAMBANG KAPAK TENGAH;-0.248539546
1672020;PRABUMULIH TIMUR;-0.222025591
1672021;PRABUMULIH SELATAN;-0.243384032
1672030;PRABUMULIH BARAT;-0.240438572
1672031;PRABUMULIH UTARA;-0.217540295
1672040;CAMBAI;-0.236678747
1673010;DEMPO SELATAN;-0.241752965
1673011;DEMPO TENGAH;-0.236217896
1673020;DEMPO UTARA;-0.283018741
1673030;PAGAR ALAM SELATAN;-0.224546879
1673040;PAGAR ALAM UTARA;-0.233345102
1674011;LUBUK LINGGAU BARAT I;-0.27493343
1674012;LUBUK LINGGAU BARAT II;-0.235871157
1674021;LUBUK LINGGAU SELATAN I;-0.284146419
1674022;LUBUK LINGGAU SELATAN II;-0.253624996
1674031;LUBUK LINGGAU TIMUR I;-0.222556572
1674032;LUBUK LINGGAU TIMUR II;-0.236751556
1674041;LUBUK LINGGAU UTARA I;-0.28211389
1674042;LUBUK LINGGAU UTARA II;-0.261448642
