idkec;nmkec;UI
6303110;MATARAMAN;76.76660134
6303120;SIMPANG EMPAT;75.84913076
6303121;TELAGA BAUNTUNG;72.74672617
6303122;CINTAPURI DARUSSALAM;77.09621258
6304010;TABUNGANEN;72.43801871
6304020;TAMBAN;74.49113981
6304030;MEKAR SARI;75.46344105
6304040;ANJIR PASAR;76.57593895
6304050;ANJIR MUARA;75.53132712
6304060;ALALAK;77.24850432
6304070;MANDASTANA;77.0076583
6304071;JEJANGKIT;75.83010292
6304080;BELAWANG;76.00521381
6304090;WANARAYA;72.90481596
6304100;BARAMBAI;73.16242195
6304110;RANTAU BADAUH;75.94478249
6304120;CERBON;74.0687498
6304130;BAKUMPAI;74.94404077
6304140;MARABAHAN;72.42563172
6304150;TABUKAN;72.94308847
6304160;KURIPAN;74.63461585
6305010;BINUANG;75.8576844
6305011;HATUNGUN;74.71017843
6305020;TAPIN SELATAN;76.20670632
6305021;SALAM BABARIS;77.2686505
6305030;TAPIN TENGAH;73.64519987
6305040;BUNGUR;75.47604787
6305050;PIANI;69.94962033
6305060;LOKPAIKAT;77.55920794
6305070;TAPIN UTARA;75.74661662
6305080;BAKARANGAN;74.98827048
6305090;CANDI LARAS SELATAN;72.96753801
6305100;CANDI LARAS UTARA;71.68494988
6306010;PADANG BATUNG;71.84525362
6306020;LOKSADO;67.54722129
6306030;TELAGA LANGSAT;69.89630253
6306040;ANGKINANG;73.20493559
6306050;KANDANGAN;72.16729883
6306060;SUNGAI RAYA;75.14617812
6306070;SIMPUR;72.91069287
6306080;KALUMPANG;74.06482138
6306090;DAHA SELATAN;73.03561943
6306091;DAHA BARAT;71.26660148
6306100;DAHA UTARA;72.92105325
6307010;HARUYAN;70.52301437
6307020;BATU BENAWA;70.80556222
6307030;HANTAKAN;67.67099108
6307040;BATANG ALAI SELATAN;70.67857433
6307041;BATANG ALAI TIMUR;65.91390449
6307050;BARABAI;74.69996295
6307060;LABUAN AMAS SELATAN;73.92186096
6307070;LABUAN AMAS UTARA;70.21070821
6307080;PANDAWAN;72.17592241
6307090;BATANG ALAI UTARA;72.8485596
6307091;LIMPASU;71.73746833
6308010;DANAU PANGGANG;70.13204153
6308011;PAMINGGIR;70.13156535
6308020;BABIRIK;70.52092096
6308030;SUNGAI PANDAN;67.83629918
6308031;SUNGAI TABUKAN;67.30265282
6308040;AMUNTAI SELATAN;68.43654561
6308050;AMUNTAI TENGAH;70.4439109
6308060;BANJANG;70.45553935
6308070;AMUNTAI UTARA;69.66678866
6308071;HAUR GADING;69.16369966
6309010;BANUA LAWAS;67.15588667
6309020;PUGAAN;72.25159209
6309030;KELUA;71.57073745
6309040;MUARA HARUS;72.90708736
6309050;TANTA;74.26985143
6309060;TANJUNG;71.85419535
6309070;MURUNG PUDAK;76.15948343
6309080;HARUAI;71.11988719
6309081;BINTANG ARA;66.18021833
6309090;UPAU;69.31073882
6309100;MUARA UYA;66.21074018
6309110;JARO;66.9602021
6310010;KUSAN HILIR;69.28197306
6310020;SUNGAI LOBAN;71.55133406
6310030;SATUI;68.10417141
6310031;ANGSANA;69.49374104
6310040;KUSAN HULU;67.28970227
6310041;KURANJI;68.82768108
6310050;BATU LICIN;69.20416765
6310051;KARANG BINTANG;68.96433631
6310052;SIMPANG EMPAT;69.84013479
6310053;MANTEWE;66.49195661
6311010;LAMPIHONG;72.45078148
6311020;BATU MANDI;71.80229682
6311030;AWAYAN;69.73193743
6311031;TEBING TINGGI;66.36850326
6311040;PARINGIN;78.42681735
6311041;PARINGIN SELATAN;72.90097462
6311050;JUAI;74.22463329
6311060;HALONG;67.02773583
6371010;BANJARMASIN SELATAN;79.30194716
6371020;BANJARMASIN TIMUR;82.38034389
6371030;BANJARMASIN BARAT;86.1714421
6371031;BANJARMASIN TENGAH;89.20039571
6371040;BANJARMASIN UTARA;82.78968682
6372010;LANDASAN ULIN;82.11810729
6372011;LIANG ANGGANG;82.24735665
6372020;CEMPAKA;78.59087311
6372031;BANJAR BARU UTARA;81.97659331
6372032;BANJAR BARU SELATAN;82.70868388
