idkec;nmkec;UI
1606091;KELUANG;74.75330601
1606092;BABAT SUPAT;75.30227351
1606100;BAYUNG LENCIR;73.61651177
1606101;LALAN;74.65164715
1606102;TUNGKAL JAYA;74.32878793
1607010;RANTAU BAYUR;75.93766511
1607020;BETUNG;76.38080825
1607021;SUAK TAPEH;75.53305151
1607030;PULAU RIMAU;75.18539564
1607031;TUNGKAL ILIR;74.93409717
1607032;SELAT PENUGUAN;74.43411234
1607040;BANYUASIN III;75.76315151
1607041;SEMBAWA;76.8057819
1607050;TALANG KELAPA;76.56980439
1607051;TANJUNG LAGO;75.49553446
1607060;BANYUASIN I;74.18702899
1607061;AIR KUMBANG;73.73413718
1607070;RAMBUTAN;74.08962233
1607080;MUARA PADANG;74.48706236
1607081;MUARA SUGIHAN;73.98354741
1607090;MAKARTI JAYA;74.96411308
1607091;AIR SALEK;79.09586424
1607100;BANYUASIN II;67.20409852
1607101;KARANG AGUNG ILIR;75.25450871
1607110;MUARA TELANG;79.38917344
1607111;SUMBER MARGA TELANG;76.30216245
1608010;MEKAKAU ILIR;76.43848261
1608020;BANDING AGUNG;75.20591245
1608021;WARKUK RANAU SELATAN;77.22939126
1608022;BUAY PEMATANG RIBU RANAU TENGAH;74.83639848
1608030;BUAY PEMACA;78.07975602
1608040;SIMPANG;77.58362688
1608041;BUANA PEMACA;77.3362431
1608050;MUARADUA;75.23865941
1608051;BUAY RAWAN;74.58584476
1608060;BUAY SANDANG AJI;74.93920515
1608061;TIGA DIHAJI;74.63146448
1608070;BUAY RUNJUNG;77.57710012
1608071;RUNJUNG AGUNG;77.54844986
1608080;KISAM TINGGI;77.96130246
1608090;MUARADUA KISAM;77.57250451
1608091;KISAM ILIR;78.86436509
1608100;PULAU BERINGIN;76.37634842
1608101;SINDANG DANAU;75.64440397
1608102;SUNGAI ARE;75.11366934
1609010;MARTAPURA;79.1104047
1609011;BUNGA MAYANG;77.91688906
1609012;JAYA PURA;76.88347044
1609020;BUAY PEMUKA PELIUNG;80.18534227
1609030;BUAY MADANG;79.37338369
1609031;BUAY MADANG TIMUR;79.26669528
1609032;BUAY PEMUKA BANGSA RAJA;78.23262202
1609040;MADANG SUKU II;77.87014659
1609041;MADANG SUKU III;78.78457659
1609050;MADANG SUKU I;76.69569732
1609051;BELITANG MADANG RAYA;78.9149122
1609060;BELITANG;77.8986301
1609061;BELITANG JAYA;78.51053861
1609070;BELITANG III;78.64276006
1609080;BELITANG II;77.74263614
1609081;BELITANG MULYA;77.65743872
1609090;SEMENDAWAI SUKU III;77.59260335
1609091;SEMENDAWAI TIMUR;77.94564757
1609100;CEMPAKA;75.63400977
1609101;SEMENDAWAI BARAT;76.62449792
1610010;MUARA KUANG;75.51559548
1610011;RAMBANG KUANG;75.20812429
1610012;LUBUK KELIAT;76.81460278
1610020;TANJUNG BATU;78.60612727
1610021;PAYARAMAN;75.98281851
1610030;RANTAU ALAI;75.28799496
1610031;KANDIS;72.53690093
1610040;TANJUNG RAJA;75.00417589
1610041;RANTAU PANJANG;74.11570044
1610042;SUNGAI PINANG;72.06159039
1610050;PEMULUTAN;76.80661451
1610051;PEMULUTAN SELATAN;73.48806571
1610052;PEMULUTAN BARAT;78.35294601
1610060;INDRALAYA;77.27469459
1610061;INDRALAYA UTARA;76.63279372
