;Provinsi;Kecamatan;Rata2 Kapita;SE;VAR;CI LOWER;CI UPPER;RSE;DEFF
170;16;1610020;903649.6825;147529.3011;21764894684;61449756.57;119280179.9;16.32593957;1.250535871
171;16;1610021;608923.4526;74499.70274;5550205708;46290671.83;75494018.68;12.23465814;2.437502196
172;16;1610030;1060256.945;112296.9283;12610600100;84015901.03;128035488;10.59148245;0.941453545
173;16;1610031;604800.3098;36932.31243;1363995701;53241430.76;67718631.21;6.106530011;0.616285156
174;16;1610040;1217813.818;264233.2824;69819227513;69992610.13;173570153.5;21.69734638;7.432693887
175;16;1610041;566209.9682;34443.34716;1186344163;49870224.83;63371768.81;6.08314037;0.653332157
176;16;1610042;986058.9155;75525.8491;5704153883;83803097.13;113408686;7.659364762;1.112057217
177;16;1610050;779956.5891;68940.81754;4752836323;64483506.97;91507810.86;8.839058289;2.694307696
178;16;1610051;1049967.89;118804.5438;14114519624;81711526.28;128282051.7;11.31506448;3.292113166
179;16;1610052;806289.1019;54954.28117;3019973019;69858069;91399751.38;6.815704323;0.679563625
180;16;1610060;970865.1143;73099.21182;5343494768;82759329.18;111413693.7;7.529286071;0.994036863
181;16;1610061;931766.5349;83969.65912;7050903653;76718902.72;109634404.3;9.011877544;1.514905
182;16;1610062;714185.7432;86108.33172;7414644791;54541651.43;88295497.21;12.05685391;1.619002745
183;16;1611010;509352.3442;42764.56848;1828808317;42553533.02;59316935.82;8.395871535;2.779638678
184;16;1611020;658544.592;88624.12298;7854235174;48484450.28;83224468.12;13.45757357;1.22149888
185;16;1611030;690607.7996;92685.06422;8590521129;50894841.19;87226718.74;13.42079604;1.308496026
186;16;1611031;731052.0527;92927.20348;8635465146;54891808.07;91318602.47;12.71143459;1.112848027
187;16;1611040;851380.2258;66692.88456;4447940851;72066457.4;98209587.75;7.833501712;1.769884824
188;16;1611050;584834.4187;28122.36828;790867597.5;52971558.97;63995324.77;4.808603491;0.567353754
189;16;1611051;631755.9667;74398.81516;5535183698;48593696.85;77757496.49;11.77651167;4.524406118
190;16;1611060;663809.0753;92587.67421;8572477415;48234056.85;84527758.22;13.94793739;2.617809002
191;16;1611070;1337161.855;115560.8167;13354302366;111066681.6;156365689.3;8.642245989;1.104102449
192;16;1611071;477530.74;38859.99975;1510099580;40136654;55369493.99;8.137695963;0.738225885
193;16;1612010;865699.7492;106087.7986;11254621012;65777148.47;107362801.4;12.25457195;4.548843306
194;16;1612020;710183.5722;91075.2793;8294706499;53167930.49;88868783.95;12.8241884;3.302616194
195;16;1612030;1151690.125;208320.9317;43397610584;74338860.13;155999164.8;18.08827976;5.979275977
196;16;1612040;767888.2416;53039.45814;2813184119;66393281.39;87184366.93;6.90718457;3.165742086
197;16;1612050;711048.323;44536.29597;1983481659;62375878.69;79833785.92;6.263469659;1.363799997
198;16;1613010;1025503.243;263128.4616;69236587325;50978093.49;154122555.1;25.65847192;0.860069928
199;16;1613020;869968.3712;84672.67085;7169461190;70401298.58;103592375.7;9.73284474;2.846262371
200;16;1613030;849261.0463;87993.80459;7742909646;67679635.85;102172573.4;10.36121991;5.259545705
201;16;1613040;1013952.278;96623.97287;9336192134;82457277.1;120333178.5;9.529439894;4.689436006
202;16;1613050;1043944.092;85138.05115;7248487754;87707657.85;121081160.6;8.155422476;1.429890988
203;16;1613060;783969.0478;56544.37078;3197265867;67314411.75;89479397.8;7.212576944;1.331020033
204;16;1613070;872690.0804;109908.4911;12079876409;65727339.63;108810676.4;12.59421799;4.708469007
205;16;1671010;813879.3776;53004.39957;2809466374;70999266.34;91776609.18;6.512562061;0.605698216
206;16;1671011;842966.3387;178914.9322;32010552966;49229951.53;119363316.2;21.22444563;3.180432688
207;16;1671020;1101382.567;53153.36095;2825279780;99720389.39;120556124;4.826057951;0.325549412
208;16;1671021;1397580.79;133834.6746;17911720126;113526964.8;165989193.2;9.576167301;1.643425678
209;16;1671022;1567379.184;438536.1664;1.92314E+11;70786409.21;242689427.6;27.97894541;6.791424867
210;16;1671030;1402728.745;367476.6947;1.35039E+11;68248765.85;212296983.2;26.19727413;2.08280465
211;16;1671031;953330.9587;85943.76432;7386330626;78488427.59;112177764.1;9.015102629;1.43858178
212;16;1671040;1676767.589;166720.8885;27795854651;135000065.2;200353452.6;9.942993265;2.46319973
213;16;1671041;772396.3004;42350.4504;1793560649;68939094.29;85540165.8;5.482994983;0.270054315
214;16;1671050;2444972.023;389736.3285;1.51894E+11;168110285.5;320884119;15.94031854;2.171851594
215;16;1671051;2376678.888;695138.8964;4.83218E+11;101423168.7;373912609;29.24833051;4.644499223
216;16;1671060;1533000.505;202429.6448;40977761099;113624569.1;192975531.8;13.20479962;3.36092513
217;16;1671061;1335934.579;129494.8204;16768908504;108212939.5;158973976.4;9.693200728;1.161910917
218;16;1671062;2040149.919;340080.7236;1.15655E+11;137360394.8;270669588.9;16.66939868;1.600153546
219;16;1671070;1268028.822;95472.80876;9115057212;108090555.5;145515208.8;7.529230181;1.110564943
220;16;1671071;1551061.649;101887.0679;10380974598;135136666.5;175075663.2;6.568859978;0.44919437
221;16;1671080;1289674.827;72958.26906;5322909024;114667924.8;143267040.7;5.657105769;0.695653058
222;16;1671081;1674370.523;211628.706;44786709214;125958588.1;208915516.5;12.63929955;4.499081381
223;16;1672010;941821.9968;236659.8398;56007879791;47797723.41;140566675.9;25.12787349;3.033326889
224;16;1672020;1087484.301;87670.2784;7686077715;91565371.25;125931488.9;8.061751176;2.10349923
