idkec;nmkec;path;residential;service;tertiary;track;unclassified;trunk;footway;pedestrian;steps;primary;primary_link;secondary;tertiary_link;trunk_link;living_street;secondary_link;raceway;road;cycleway;construction;corridor
6303101;SAMBUNG MAKMUR;548.639;137330.637;60209.946;36471.137;18773.313;86776.552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303110;MATARAMAN;251.725;79925.331;50825.498;92715.225;18211.144;66467.428;15736.599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303120;SIMPANG EMPAT;173.674;90900.458;84545.518;61177.788;27537.427;65614.912;24642.579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303121;TELAGA BAUNTUNG;0;41505.771;20109.997;7108.605;14412.012;20626.298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303122;CINTAPURI DARUSSALAM;63.774;73517.356;193474.254;9233.57;22740.678;105275.086;0;1340.094;310.66;13.146;0;0;0;0;0;0;0;0;0;0;0;0
6304010;TABUNGANEN;15718.694;70753.905;1370.972;7268.385;28721.219;34463.623;0;27.706;269.558;0;0;0;0;0;0;0;0;0;0;0;0;0
6304020;TAMBAN;40822.959;131106.431;15398.608;40399.371;14147.601;21111.845;0;1733.665;0;364.64;0;0;0;82.859;0;2179.027;0;0;0;0;0;0
6304030;MEKAR SARI;0;74686.142;15339.96;38318.089;20459.019;28203.31;0;0;0;11.167;0;0;0;0;0;0;0;0;0;0;0;0
6304040;ANJIR PASAR;0;69770.79;3557.466;13437.036;72965.121;26374.814;13818.22;0;0;157.55;0;0;0;0;0;0;0;0;0;0;0;0
6304050;ANJIR MUARA;61.667;74056.988;4373.204;17454.345;36671.709;28449.082;8635.154;0;0;496.088;0;0;0;0;0;0;0;0;0;0;0;0
6304060;ALALAK;4002.677;281716.619;24055.096;20927.605;46914.865;18044.921;21006.291;779.521;101.233;33.945;0;0;9956.301;0;118.08;346.914;40.849;0;0;0;0;0
6304070;MANDASTANA;71.8;161655.541;9602.214;0;47558.586;41288.842;25929.682;0;181.177;0;0;0;0;0;100.785;0;0;0;363.608;0;0;0
6304071;JEJANGKIT;0;70884.707;21064.777;0;34143.295;47244.549;0;0;40.773;0;0;0;0;0;0;2108.414;0;0;0;0;0;0
6304080;BELAWANG;24.993;48905.846;2637.994;17181.013;9095.502;47794.768;0;0;0;0;0;0;0;0;0;255.786;0;0;0;0;0;0
6304090;WANARAYA;21.372;160953.524;31940.787;0;43291.002;67060.736;0;0;0;245.769;0;0;0;0;0;0;0;0;0;0;0;0
6304100;BARAMBAI;0;85861.557;39308.572;22099.994;37478.481;38518.684;0;1791.823;225.836;70.223;0;0;4721.753;0;0;0;0;0;0;0;0;0
6304110;RANTAU BADAUH;0;121831.61;11893.326;0;22818.096;38329.047;16698.755;0;408.559;26.636;0;0;0;0;0;0;0;0;0;0;0;0
6304120;CERBON;0;84522.283;27214.535;18327.814;19231.927;3786.342;9008.433;0;0;0;0;0;6801.684;0;0;624.618;0;0;0;0;0;0
6304130;BAKUMPAI;756.436;30218.193;29962.935;0;9980.85;20528.293;6831.638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
