idkec;nmkec;BUI
1611060;TALANG PADANG;1360.880989
1611070;TEBING TINGGI;1424.496348
1611071;SALING;1441.489861
1612010;TALANG UBI;1655.929408
1612020;TANAH ABANG;1585.568996
1612030;ABAB;1610.665295
1612040;PENUKAL;1568.260238
1612050;PENUKAL UTARA;1568.979587
1613010;ULU RAWAS;1726.493422
1613020;KARANG JAYA;1610.074426
1613030;RAWAS ULU;1619.039197
1613040;RUPIT;1537.29598
1613050;KARANG DAPO;1650.808489
1613060;RAWAS ILIR;1597.35704
1613070;NIBUNG;1759.937091
1671010;ILIR BARAT II;2041.145481
1671011;GANDUS;1644.97908
1671020;SEBERANG ULU I;2086.229946
1671021;KERTAPATI;1589.610294
1671022;JAKABARING;1897.074828
1671030;SEBERANG ULU II;2018.921452
1671031;PLAJU;1786.067239
1671040;ILIR BARAT I;1792.520356
1671041;BUKIT KECIL;2207.660483
1671050;ILIR TIMUR I;2334.06263
1671051;KEMUNING;2296.872013
1671060;ILIR TIMUR II;2057.555259
1671061;KALIDONI;1808.12933
1671062;ILIR TIMUR TIGA;2172.451312
1671070;SAKO;1949.468141
1671071;SEMATANG BORANG;1697.058881
1671080;SUKARAMI;1912.380773
1671081;ALANG ALANG LEBAR;1854.469375
1672010;RAMBANG KAPAK TENGAH;1606.875475
1672020;PRABUMULIH TIMUR;1754.909831
1672021;PRABUMULIH SELATAN;1614.397726
1672030;PRABUMULIH BARAT;1611.108349
1672031;PRABUMULIH UTARA;1791.219063
1672040;CAMBAI;1676.961806
1673010;DEMPO SELATAN;1933.56872
1673011;DEMPO TENGAH;1965.457344
1673020;DEMPO UTARA;1535.374325
1673030;PAGAR ALAM SELATAN;1935.11357
1673040;PAGAR ALAM UTARA;1871.922542
1674011;LUBUK LINGGAU BARAT I;1411.314412
1674012;LUBUK LINGGAU BARAT II;1567.422492
1674021;LUBUK LINGGAU SELATAN I;1393.666449
1674022;LUBUK LINGGAU SELATAN II;1464.063659
1674031;LUBUK LINGGAU TIMUR I;1558.860373
1674032;LUBUK LINGGAU TIMUR II;1547.560863
1674041;LUBUK LINGGAU UTARA I;1430.533221
1674042;LUBUK LINGGAU UTARA II;1486.667885
