idkec;nmkec;EVI
1672021;PRABUMULIH SELATAN;0.415162322
1672030;PRABUMULIH BARAT;0.415187711
1672031;PRABUMULIH UTARA;0.375270679
1672040;CAMBAI;0.413885525
1673010;DEMPO SELATAN;0.34803258
1673011;DEMPO TENGAH;0.343023562
1673020;DEMPO UTARA;0.413076303
1673030;PAGAR ALAM SELATAN;0.340757515
1673040;PAGAR ALAM UTARA;0.353005912
1674011;LUBUK LINGGAU BARAT I;0.410049406
1674012;LUBUK LINGGAU BARAT II;0.347562682
1674021;LUBUK LINGGAU SELATAN I;0.429203705
1674022;LUBUK LINGGAU SELATAN II;0.380353256
1674031;LUBUK LINGGAU TIMUR I;0.327048702
1674032;LUBUK LINGGAU TIMUR II;0.353043235
1674041;LUBUK LINGGAU UTARA I;0.427428884
1674042;LUBUK LINGGAU UTARA II;0.382820903
