idkec;nmkec;VIBI
6303122;CINTAPURI DARUSSALAM;0.770679414
6304010;TABUNGANEN;0.723372132
6304020;TAMBAN;0.744556667
6304030;MEKAR SARI;0.754441729
6304040;ANJIR PASAR;0.765327324
6304050;ANJIR MUARA;0.755080229
6304060;ALALAK;0.772119621
6304070;MANDASTANA;0.769978694
6304071;JEJANGKIT;0.757967988
6304080;BELAWANG;0.759856844
6304090;WANARAYA;0.729004926
6304100;BARAMBAI;0.731397372
6304110;RANTAU BADAUH;0.758882504
6304120;CERBON;0.740311704
6304130;BAKUMPAI;0.748885581
6304140;MARABAHAN;0.724088451
6304150;TABUKAN;0.72917292
6304160;KURIPAN;0.74622479
6305010;BINUANG;0.757874401
6305011;HATUNGUN;0.74666598
6305020;TAPIN SELATAN;0.76145228
6305021;SALAM BABARIS;0.772549976
6305030;TAPIN TENGAH;0.736078036
6305040;BUNGUR;0.754683527
6305050;PIANI;0.699277601
6305060;LOKPAIKAT;0.775532726
6305070;TAPIN UTARA;0.757212098
6305080;BAKARANGAN;0.749589246
6305090;CANDI LARAS SELATAN;0.729127993
6305100;CANDI LARAS UTARA;0.716556458
6306010;PADANG BATUNG;0.718282168
6306020;LOKSADO;0.675340366
6306030;TELAGA LANGSAT;0.69896302
6306040;ANGKINANG;0.731617021
6306050;KANDANGAN;0.721413882
6306060;SUNGAI RAYA;0.750932942
6306070;SIMPUR;0.728666715
6306080;KALUMPANG;0.740330747
6306090;DAHA SELATAN;0.729673839
6306091;DAHA BARAT;0.712428119
6306100;DAHA UTARA;0.728980693
6307010;HARUYAN;0.704892418
6307020;BATU BENAWA;0.707768071
6307030;HANTAKAN;0.676580155
6307040;BATANG ALAI SELATAN;0.706608128
6307041;BATANG ALAI TIMUR;0.658850381
6307050;BARABAI;0.746999636
6307060;LABUAN AMAS SELATAN;0.738995069
6307070;LABUAN AMAS UTARA;0.701699058
6307080;PANDAWAN;0.721759229
6307090;BATANG ALAI UTARA;0.728450848
6307091;LIMPASU;0.716716055
6308010;DANAU PANGGANG;0.701217794
6308011;PAMINGGIR;0.700896363
6308020;BABIRIK;0.704874946
6308030;SUNGAI PANDAN;0.678138732
6308031;SUNGAI TABUKAN;0.672730371
6308040;AMUNTAI SELATAN;0.684111348
6308050;AMUNTAI TENGAH;0.704279876
6308060;BANJANG;0.704374156
6308070;AMUNTAI UTARA;0.696267033
6308071;HAUR GADING;0.691490123
6309010;BANUA LAWAS;0.671278934
6309020;PUGAAN;0.72251592
6309030;KELUA;0.715707373
6309040;MUARA HARUS;0.727527334
6309050;TANTA;0.742532987
6309060;TANJUNG;0.718393236
6309070;MURUNG PUDAK;0.761436848
6309080;HARUAI;0.711059649
6309081;BINTANG ARA;0.661686118
6309090;UPAU;0.693033293
6309100;MUARA UYA;0.662016953
6309110;JARO;0.669577906
6310010;KUSAN HILIR;0.692479487
6310020;SUNGAI LOBAN;0.715063898
6310030;SATUI;0.680854514
6310031;ANGSANA;0.694280688
6310040;KUSAN HULU;0.672438445
6310041;KURANJI;0.688186625
6310050;BATU LICIN;0.691605269
6310051;KARANG BINTANG;0.689175671
6310052;SIMPANG EMPAT;0.698306781
6310053;MANTEWE;0.66462109
6311010;LAMPIHONG;0.724266603
6311020;BATU MANDI;0.718022971
6311030;AWAYAN;0.697195554
6311031;TEBING TINGGI;0.663401051
6311040;PARINGIN;0.784072392
6311041;PARINGIN SELATAN;0.728952331
6311050;JUAI;0.742088953
6311060;HALONG;0.670147932
6371010;BANJARMASIN SELATAN;0.792278397
6371020;BANJARMASIN TIMUR;0.822789813
6371030;BANJARMASIN BARAT;0.860890538
6371031;BANJARMASIN TENGAH;0.890188857
6371040;BANJARMASIN UTARA;0.826916785
6372010;LANDASAN ULIN;0.820703035
6372011;LIANG ANGGANG;0.822199993
6372020;CEMPAKA;0.785525859
6372031;BANJAR BARU UTARA;0.81931075
6372032;BANJAR BARU SELATAN;0.825228428
