idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1608020;BANDING AGUNG;232.1584;0.9899;0.9899;1.9799;0.5862;3.3694;0;0;0
1608021;WARKUK RANAU SELATAN;242.1084;2.9694;14.1488;0;0.3687;4.8908;0;0;0
1608022;BUAY PEMATANG RIBU RANAU TENGAH;177.9268;4.8834;1.9799;1.9798;4.9495;1.4013;0;0;0
1608030;BUAY PEMACA;443.2162;16.3594;37.8585;0.9902;0.1359;0;0;0;0
1608040;SIMPANG;122.8482;6.1596;19.1614;4.82;0;0;0;0;0
1608041;BUANA PEMACA;169.8994;5.8873;10.8071;0;0;1.6855;0;0;0
1608050;MUARADUA;195.217;14.8304;3.0755;5.9416;0;0.2951;0;0;0
1608051;BUAY RAWAN;152.7388;3.9764;1.8251;4.9511;0;0;0;0;0
1608060;BUAY SANDANG AJI;204.1732;3.7399;0.6369;1.9805;0;0.4776;0;0;0
1608061;TIGA DIHAJI;182.2493;0;0;0;0;0.5126;0;0;0.9901
1608070;BUAY RUNJUNG;96.3209;9.1384;1.0291;0;0;0;0;0;0
1608071;RUNJUNG AGUNG;124.5947;0;13.4977;0;0;0;0;0;0
1608080;KISAM TINGGI;208.3002;3.9621;62.2794;0.9905;9.1712;0;0;0;0
1608090;MUARADUA KISAM;169.6501;9.9047;3.589;0;12.0454;0;0;0;0
1608091;KISAM ILIR;49.4909;4.9401;9.2627;0;0;0;0;0;0
1608100;PULAU BERINGIN;234.0786;2.971;1.7707;0.9903;7.3678;0;0;0;0
1608101;SINDANG DANAU;242.059;1.9808;0;0;1.8489;0;0;0;0
1608102;SUNGAI ARE;180.8907;0;4.7417;0.9904;0;0;0;0;0
1609010;MARTAPURA;116.4537;24.0923;0;18.6186;0;3.6903;0.9906;0;0
1609011;BUNGA MAYANG;147.9741;39.8485;16.0649;4.1094;0;4.4591;0.9905;0;0
1609012;JAYA PURA;151.8269;0;3.0058;1.9575;0;0.7574;0;0;0
1609020;BUAY PEMUKA PELIUNG;124.9909;31.7078;2.91;11.0911;0;0.9907;0;0;0
1609030;BUAY MADANG;5.9826;57.6672;0;9.0906;0;0;0;0;0
1609031;BUAY MADANG TIMUR;50.8795;74.9365;0;24.0803;0;0;0;0;0
1609032;BUAY PEMUKA BANGSA RAJA;72.4293;26.1055;0;1.9815;0;0.9908;0;0;0
1609040;MADANG SUKU II;99.5023;52.112;2.6851;2.9844;0;4.0531;0.5712;0.3614;0
1609041;MADANG SUKU III;210.6824;10.0765;9.9128;0;0;1.8691;1.9585;4.0024;0
1609050;MADANG SUKU I;113.0544;65.2031;21.5181;7.9938;0;2.0014;3.4548;13.373;0
1609051;BELITANG MADANG RAYA;44.6436;48.6377;10.3015;12.4653;0;0;0.7694;0.2409;0
1609060;BELITANG;6.1389;52.3009;0;9.0064;0;0;0;0;0
1609061;BELITANG JAYA;75.3975;14.2621;0;14.3553;0;0;0;0.035;0
1609070;BELITANG III;90.0517;31.0151;10.9296;11.7145;0;0;0;0;0
1609080;BELITANG II;127.704;38.1384;10.721;10.873;0;0;0.991;0;0
1609081;BELITANG MULYA;17.0392;31.2;1.0414;5.2615;0;0;0;0;0
1609090;SEMENDAWAI SUKU III;48.9155;61.0929;3.5441;8.9147;0;0;1.0687;0;0
1609091;SEMENDAWAI TIMUR;139.7471;55.6908;17.8393;6.024;0;0;0.9484;0;0
1609100;CEMPAKA;211.1852;158.979;22.8607;3.9686;0;0.9913;14.8492;21.6637;0
1609101;SEMENDAWAI BARAT;147.6508;119.6995;8.7995;0.991;0;0.9911;6.3508;6.4635;0
1610010;MUARA KUANG;215.4945;8.1022;21.8333;1.9827;0;4.9567;0.972;19.4614;0
1610011;RAMBANG KUANG;456.1448;8.9931;15.154;1.9827;0;0;2.9743;3.2194;0
1610012;LUBUK KELIAT;92.5101;45.6004;5.6418;4.9578;0;0;14.2427;20.9341;0
1610020;TANJUNG BATU;103.7789;99.4881;10.5819;3.9899;0;1.9834;3.9666;27.4757;0
1610021;PAYARAMAN;157.3372;23.3382;1.046;2.9476;0;0;0;0;0
1610030;RANTAU ALAI;52.2419;10.4445;7.3608;0;0;0.3189;2.3875;2.0181;0
1610031;KANDIS;18.0545;1.956;2.4304;0;0;2.0065;0.9916;5.9377;0
1610040;TANJUNG RAJA;41.595;10.6049;8.1318;6.8366;0;2.4033;2.2594;1.9833;0
1610041;RANTAU PANJANG;11.0371;24.6568;9.3844;0.8323;0;2.1974;0;4.3325;0
1610042;SUNGAI PINANG;10.5348;12.8099;3.6594;5.2344;0;4.2116;0.0078;3.6127;0
1610050;PEMULUTAN;6.2353;41.2977;15.5899;5.6637;0;12.1166;0.4629;21.564;0
1610051;PEMULUTAN SELATAN;6.2307;15.5029;0;0.9257;0;3.8543;0;25.0318;0
1610052;PEMULUTAN BARAT;10.1633;15.6551;16.8068;0.0194;0;6.826;2.5943;16.8181;0
1610060;INDRALAYA;26.9913;13.2853;4.8072;11.9166;0;5.9505;4.1265;20.5352;0
1610061;INDRALAYA UTARA;146.2271;72.752;59.2307;14.2666;0.2956;0.9919;6.0171;14.4842;0
1610062;INDRALAYA SELATAN;15.8672;6.2691;5.1607;4.554;0;0.9917;1.6956;3.1928;0
1611010;MUARA PINANG;79.8387;4.0034;2.9733;3.0589;0;0;0;0;0
1611020;LINTANG KANAN;107.843;19.4063;2.332;2.9929;0;0;0;0;0
